PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Metta World Peace,26,16,16,37.7,6.8,14.8,0.46,1.1,3.4,0.33299999999999996,5.7,11.4,0.49700000000000005,0.498,4.6,7.6,0.612,1.6,3.3,4.9,2.2,2.6,0.7,2.7,2.8,19.4
Peja Stojaković,28,40,40,36.4,6.9,14.9,0.461,2.3,5.6,0.40399999999999997,4.6,9.2,0.496,0.5379999999999999,3.5,3.9,0.903,1.1,5.1,6.3,1.7,0.7,0.2,1.3,2.2,19.5
Stephen Jackson,27,81,81,35.9,5.8,14.2,0.41100000000000003,1.4,4.2,0.345,4.4,10.0,0.439,0.462,3.3,4.2,0.7859999999999999,0.6,3.3,3.9,2.8,1.3,0.5,2.5,2.4,16.4
Jermaine O'Neal,27,51,47,35.3,7.5,15.8,0.47200000000000003,0.1,0.2,0.3,7.4,15.6,0.474,0.474,5.1,7.2,0.7090000000000001,2.0,7.3,9.3,2.6,0.5,2.3,3.0,3.5,20.1
Fred Jones,26,68,2,27.0,3.4,8.2,0.41700000000000004,0.9,2.8,0.337,2.5,5.5,0.457,0.473,1.8,2.4,0.763,0.3,2.2,2.5,2.3,0.8,0.3,1.6,2.1,9.6
Jamaal Tinsley,27,42,27,26.7,3.8,9.2,0.409,0.4,1.7,0.22899999999999998,3.4,7.5,0.449,0.43,1.4,2.2,0.637,0.8,2.3,3.2,5.0,1.2,0.1,2.6,2.3,9.3
Anthony Johnson,31,75,53,26.4,3.6,8.0,0.44299999999999995,0.7,2.1,0.32899999999999996,2.9,6.0,0.48200000000000004,0.485,1.4,1.9,0.752,0.4,1.8,2.2,4.3,0.8,0.3,1.5,1.8,9.2
Jeff Foster,29,63,37,25.1,2.2,4.0,0.552,0.0,0.1,0.0,2.2,3.9,0.561,0.552,1.5,2.5,0.604,3.6,5.6,9.1,0.8,0.7,0.4,1.0,3.0,5.9
Austin Croshere,30,50,26,23.0,2.6,5.7,0.46299999999999997,1.1,2.8,0.386,1.6,2.9,0.5379999999999999,0.5579999999999999,1.8,2.0,0.882,1.2,4.1,5.3,1.2,0.4,0.1,1.0,2.1,8.2
Danny Granger,22,78,17,22.6,2.8,6.1,0.462,0.4,1.2,0.32299999999999995,2.4,4.9,0.496,0.494,1.5,1.9,0.777,1.7,3.2,4.9,1.2,0.7,0.8,1.0,2.7,7.5
Stephen Jackson,29,75,15,20.8,2.3,5.7,0.396,1.1,3.1,0.364,1.1,2.6,0.435,0.49700000000000005,1.6,1.8,0.91,0.3,1.8,2.0,3.0,0.5,0.1,1.5,1.4,7.3
Scot Pollard,30,45,32,17.1,1.6,3.4,0.455,0.0,0.0,,1.6,3.4,0.455,0.455,0.6,0.8,0.763,1.6,3.2,4.8,0.5,0.8,0.4,0.6,2.6,3.8
David Harrison,23,67,17,15.4,2.2,4.4,0.503,0.0,0.0,,2.2,4.4,0.503,0.503,1.3,2.6,0.511,1.3,2.5,3.8,0.2,0.3,0.9,1.2,2.9,5.7
Jonathan Bender,25,2,0,10.5,2.0,2.5,0.8,0.0,0.0,,2.0,2.5,0.8,0.8,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.5,0.0,1.0,5.0
Samaki Walker,29,7,0,3.1,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.0,0.0,0.3,0.3,1.0,0.0,0.4,0.4,0.0,0.0,0.1,0.3,1.0,0.3
Eddie Gill,27,41,0,3.0,0.2,1.1,0.222,0.2,0.6,0.304,0.1,0.5,0.136,0.3,0.4,0.6,0.7829999999999999,0.0,0.4,0.4,0.3,0.3,0.0,0.2,0.3,1.1
