PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Ray Allen,30,78,78,38.7,8.7,19.2,0.45399999999999996,3.4,8.4,0.41200000000000003,5.3,10.9,0.486,0.544,4.2,4.6,0.903,0.9,3.3,4.3,3.7,1.3,0.2,2.4,1.9,25.1
Rashard Lewis,26,78,77,36.9,6.9,14.8,0.467,1.8,4.7,0.384,5.1,10.0,0.507,0.529,4.5,5.5,0.818,1.4,3.6,5.0,2.3,1.3,0.6,1.8,2.4,20.1
Luke Ridnour,24,79,77,33.2,4.2,10.1,0.418,0.5,1.9,0.289,3.7,8.2,0.44799999999999995,0.445,2.5,2.9,0.877,0.6,2.4,3.0,7.0,1.6,0.3,2.1,2.3,11.5
Chris Wilcox,23,29,23,30.1,5.8,9.7,0.5920000000000001,0.0,0.0,,5.8,9.7,0.5920000000000001,0.5920000000000001,2.6,3.2,0.787,2.5,5.7,8.2,1.2,0.6,0.4,1.4,2.8,14.1
Earl Watson,26,24,0,25.1,4.1,9.5,0.43200000000000005,1.8,4.2,0.42,2.3,5.3,0.441,0.524,1.6,2.2,0.731,0.3,2.7,3.0,5.4,1.3,0.1,2.5,2.7,11.5
Vladimir Radmanović,25,47,16,23.2,3.3,8.2,0.401,1.5,4.2,0.36700000000000005,1.7,4.0,0.436,0.495,1.2,1.3,0.887,0.8,3.1,4.0,1.5,0.7,0.3,1.1,2.8,9.3
Ronald Murray,26,48,2,22.6,3.7,9.4,0.397,0.4,1.6,0.22399999999999998,3.4,7.8,0.43200000000000005,0.41600000000000004,2.1,2.9,0.7170000000000001,0.4,1.4,1.8,2.5,0.6,0.1,1.6,1.4,9.9
Nick Collison,25,66,27,21.9,3.1,6.0,0.525,0.0,0.0,0.0,3.1,5.9,0.529,0.525,1.2,1.7,0.6990000000000001,2.2,3.4,5.6,1.1,0.3,0.5,1.2,3.2,7.5
Robert Swift,20,47,20,21.0,2.6,5.1,0.515,0.0,0.0,,2.6,5.1,0.515,0.515,1.1,1.9,0.5820000000000001,2.0,3.6,5.6,0.2,0.3,1.2,1.0,3.0,6.4
Reggie Evans,25,41,23,19.2,2.1,4.2,0.509,0.0,0.0,0.0,2.1,4.2,0.512,0.509,1.6,2.9,0.55,2.8,4.0,6.7,0.6,0.6,0.1,1.0,2.3,5.9
Johan Petro,20,68,41,18.9,2.3,4.4,0.51,0.0,0.0,,2.3,4.4,0.51,0.51,0.7,1.1,0.627,1.6,2.8,4.4,0.2,0.4,0.8,0.9,3.1,5.2
Damien Wilkins,26,82,12,18.6,2.4,5.3,0.444,0.2,0.7,0.25,2.2,4.6,0.47200000000000003,0.46,1.7,2.0,0.84,1.0,1.4,2.3,1.3,0.9,0.1,1.0,1.8,6.5
Vitaly Potapenko,30,24,12,13.4,1.3,2.7,0.5,0.0,0.0,,1.3,2.7,0.5,0.5,0.4,0.7,0.588,1.1,1.5,2.6,0.3,0.1,0.1,0.6,1.8,3.1
Mikki Moore,30,47,1,12.4,1.1,2.6,0.435,0.0,0.0,0.0,1.1,2.6,0.44299999999999995,0.435,1.0,1.3,0.742,0.9,1.8,2.8,0.6,0.1,0.3,0.9,2.0,3.3
Danny Fortson,29,23,1,12.0,1.2,2.2,0.529,0.0,0.0,,1.2,2.2,0.529,0.529,1.4,1.9,0.767,1.3,2.0,3.4,0.1,0.2,0.1,1.1,3.3,3.8
Mike Wilks,26,10,0,10.5,1.2,3.1,0.387,0.1,0.5,0.2,1.1,2.6,0.423,0.40299999999999997,1.9,2.9,0.655,0.3,0.9,1.2,1.4,0.6,0.0,0.9,0.7,4.4
Mateen Cleaves,28,27,0,8.5,0.9,2.6,0.35200000000000004,0.1,0.6,0.25,0.8,2.0,0.382,0.38,0.7,0.9,0.792,0.1,0.4,0.5,1.6,0.1,0.1,0.5,1.1,2.7
Rick Brunson,33,4,0,7.8,1.3,2.0,0.625,0.0,0.3,0.0,1.3,1.8,0.7140000000000001,0.625,0.0,0.0,,0.0,0.5,0.5,0.5,0.0,0.0,0.8,0.3,2.5
Noel Felix,24,12,0,6.8,0.5,2.1,0.24,0.1,0.3,0.33299999999999996,0.4,1.8,0.22699999999999998,0.26,0.4,0.7,0.625,0.3,0.8,1.1,0.2,0.2,0.3,0.7,1.1,1.5
