PLAYER,AGE,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
Mike Miller,26.0,70.0,2740.0,0.46,0.514,0.406,0.56,0.7929999999999999,0.588,0.201,0.493,100.0,106.0,113.0,113.0,105.0,109.0,61.0,232.0,129.4,102.5
Pau Gasol,26.0,59.0,2133.0,0.5379999999999999,0.542,0.273,0.54,0.748,0.593,0.466,0.013000000000000001,117.0,112.0,76.0,109.0,99.0,109.0,142.0,6.0,75.2,106.3
Hakim Warrick,24.0,82.0,2152.0,0.524,0.53,0.0,0.524,0.7709999999999999,0.5920000000000001,0.545,0.011000000000000001,114.0,109.0,,106.0,102.0,109.0,167.0,5.0,39.2,89.1
Chucky Atkins,32.0,75.0,2064.0,0.434,0.474,0.379,0.515,0.81,0.58,0.435,0.428,95.0,98.0,106.0,104.0,108.0,107.0,133.0,201.0,26.2,65.5
Rudy Gay,20.0,78.0,2103.0,0.42200000000000004,0.436,0.364,0.457,0.727,0.496,0.275,0.188,92.0,90.0,102.0,92.0,97.0,92.0,84.0,89.0,-60.5,-76.6
Dahntay Jones,26.0,78.0,1671.0,0.47700000000000004,0.479,0.41700000000000004,0.483,0.7929999999999999,0.542,0.377,0.026000000000000002,104.0,99.0,116.0,97.0,105.0,100.0,115.0,12.0,-12.6,0.9
Damon Stoudamire,33.0,62.0,1501.0,0.391,0.42700000000000005,0.337,0.45899999999999996,0.795,0.493,0.19,0.401,85.0,88.0,94.0,92.0,106.0,91.0,58.0,188.0,-32.8,-45.8
Stromile Swift,27.0,54.0,1029.0,0.465,0.47200000000000003,0.0,0.465,0.7240000000000001,0.517,0.387,0.015,102.0,97.0,,94.0,96.0,96.0,118.0,7.0,-21.5,-19.5
Tarence Kinsey,22.0,48.0,967.0,0.457,0.488,0.28300000000000003,0.479,0.7959999999999999,0.531,0.322,0.151,100.0,101.0,79.0,96.0,106.0,98.0,99.0,71.0,-10.8,-6.9
Lawrence Roberts,24.0,54.0,969.0,0.452,0.456,0.0,0.452,0.725,0.5329999999999999,0.63,0.01,99.0,94.0,,91.0,96.0,98.0,193.0,5.0,-18.5,-4.7
Alexander Johnson,23.0,59.0,753.0,0.5379999999999999,0.5379999999999999,,0.5379999999999999,0.6609999999999999,0.588,0.698,0.0,117.0,111.0,,108.0,88.0,109.0,213.0,,14.2,20.8
Eddie Jones,35.0,29.0,561.0,0.37799999999999995,0.455,0.297,0.45,0.735,0.485,0.225,0.49,82.0,94.0,83.0,91.0,98.0,90.0,69.0,231.0,-13.9,-18.7
Junior Harrington,26.0,29.0,543.0,0.41600000000000004,0.451,0.26899999999999996,0.442,0.674,0.483,0.336,0.19,91.0,93.0,75.0,89.0,90.0,89.0,103.0,89.0,-15.0,-18.3
Brian Cardinal,29.0,28.0,313.0,0.494,0.585,0.409,0.6,0.9259999999999999,0.655,0.318,0.518,108.0,121.0,114.0,121.0,123.0,121.0,97.0,244.0,17.6,22.1
Kyle Lowry,20.0,10.0,175.0,0.368,0.36700000000000005,0.375,0.408,0.893,0.556,0.737,0.21,80.0,76.0,105.0,82.0,119.0,103.0,225.0,99.0,-6.7,1.5
Jake Tsakalidis,27.0,23.0,258.0,0.4,0.4,,0.4,0.583,0.446,0.48,0.0,87.0,82.0,,81.0,78.0,82.0,147.0,,-9.6,-11.6
Scott Padgett,30.0,7.0,33.0,0.14300000000000002,0.33299999999999996,0.0,0.14300000000000002,0.0,0.127,0.28600000000000003,0.5710000000000001,31.0,69.0,,29.0,,23.0,87.0,269.0,-4.9,-6.5
Will Conroy,24.0,3.0,17.0,,,,,,,,,,,,,,,,,0.0,0.0
Team,,,,0.46799999999999997,0.493,0.37200000000000005,0.506,0.764,0.5579999999999999,0.377,0.20600000000000002,102.0,102.0,104.0,102.0,102.0,103.0,115.0,97.0,123.4,236.8
League Average,,,,0.45799999999999996,0.485,0.358,0.496,0.752,0.541,0.327,0.212,,,,,,,,,,
