PLAYER,AGE,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
Tracy McGrady,28.0,66.0,2440.0,0.419,0.457,0.29100000000000004,0.452,0.684,0.48700000000000004,0.27399999999999997,0.226,92.0,94.0,81.0,91.0,91.0,90.0,89.0,102.0,-118.2,-155.4
Yao Ming,27.0,55.0,2044.0,0.507,0.508,0.0,0.507,0.85,0.5870000000000001,0.47600000000000003,0.002,111.0,105.0,,102.0,113.0,109.0,156.0,1.0,16.4,95.4
Rafer Alston,31.0,74.0,2526.0,0.39399999999999996,0.42700000000000005,0.35100000000000003,0.47100000000000003,0.715,0.49200000000000005,0.14800000000000002,0.441,86.0,88.0,97.0,95.0,95.0,91.0,48.0,198.0,-48.2,-94.5
Luis Scola,27.0,82.0,2024.0,0.515,0.517,0.0,0.515,0.6679999999999999,0.5479999999999999,0.35100000000000003,0.004,113.0,107.0,,104.0,88.0,101.0,115.0,2.0,23.5,11.4
Shane Battier,29.0,80.0,2907.0,0.428,0.504,0.377,0.54,0.743,0.561,0.163,0.596,94.0,104.0,104.0,109.0,98.0,104.0,53.0,268.0,53.2,27.2
Luther Head,25.0,73.0,1379.0,0.43200000000000005,0.504,0.35100000000000003,0.515,0.815,0.5429999999999999,0.17,0.47200000000000003,94.0,104.0,97.0,103.0,108.0,101.0,55.0,212.0,16.5,3.1
Bonzi Wells,31.0,51.0,1124.0,0.425,0.447,0.21,0.434,0.638,0.48,0.42200000000000004,0.092,93.0,92.0,58.0,87.0,84.0,89.0,138.0,42.0,-51.9,-58.9
Carl Landry,24.0,42.0,711.0,0.616,0.619,0.0,0.616,0.6609999999999999,0.64,0.498,0.005,135.0,128.0,,124.0,87.0,119.0,163.0,2.0,52.1,53.6
Aaron Brooks,23.0,51.0,608.0,0.413,0.491,0.33,0.493,0.857,0.535,0.218,0.484,90.0,101.0,91.0,99.0,113.0,99.0,71.0,218.0,-1.8,-2.4
Chuck Hayes,24.0,79.0,1575.0,0.511,0.518,0.0,0.511,0.45799999999999996,0.512,0.109,0.013999999999999999,112.0,107.0,,103.0,61.0,95.0,35.0,6.0,6.1,-13.2
Bobby Jackson,34.0,26.0,498.0,0.419,0.469,0.342,0.486,0.75,0.509,0.152,0.391,92.0,97.0,94.0,98.0,99.0,94.0,50.0,176.0,-4.9,-14.1
Mike James,32.0,33.0,537.0,0.35,0.36200000000000004,0.324,0.40299999999999997,0.7859999999999999,0.44,0.18600000000000003,0.327,76.0,75.0,90.0,81.0,104.0,81.0,61.0,147.0,-42.8,-49.2
Steve Novak,24.0,35.0,264.0,0.48,0.484,0.479,0.647,0.75,0.65,0.039,0.696,105.0,100.0,132.0,130.0,99.0,120.0,13.0,313.0,30.5,22.9
Dikembe Mutombo,41.0,39.0,619.0,0.537,0.537,,0.537,0.711,0.591,0.562,0.0,118.0,111.0,,108.0,94.0,109.0,184.0,,6.4,10.2
Mike Harris,24.0,17.0,159.0,0.5,0.519,0.0,0.5,0.615,0.519,0.24100000000000002,0.037000000000000005,109.0,107.0,,101.0,81.0,96.0,79.0,17.0,0.3,-2.5
Steve Francis,30.0,10.0,199.0,0.33299999999999996,0.375,0.235,0.368,0.565,0.41,0.40399999999999997,0.298,73.0,77.0,65.0,74.0,75.0,76.0,132.0,134.0,-14.7,-17.5
Kirk Snyder,24.0,9.0,81.0,0.46399999999999997,0.579,0.222,0.5,0.545,0.518,0.39299999999999996,0.321,102.0,120.0,61.0,101.0,72.0,96.0,128.0,145.0,0.1,-1.5
Gerald Green,22.0,1.0,4.0,1.0,1.0,,1.0,,1.0,0.0,0.0,219.0,206.0,,201.0,,185.0,,,3.0,2.8
Loren Woods,29.0,7.0,17.0,0.6,0.6,,0.6,,0.6,0.0,0.0,131.0,124.0,,121.0,,111.0,,,1.0,0.6
Bobby Jones,24.0,4.0,9.0,0.5,0.5,,0.5,,0.5,0.0,0.0,109.0,103.0,,101.0,,93.0,,,0.0,-0.3
Justin Williams,23.0,1.0,6.0,0.33299999999999996,0.33299999999999996,,0.33299999999999996,0.25,0.315,1.3330000000000002,0.0,73.0,69.0,,67.0,33.0,58.0,436.0,,-1.0,-2.1
Team,,,,0.455,0.49200000000000005,0.34600000000000003,0.499,0.736,0.536,0.273,0.259,99.0,102.0,96.0,100.0,97.0,99.0,89.0,116.0,23.1,-61.3
League Average,,,,0.457,0.484,0.36200000000000004,0.49700000000000005,0.755,0.54,0.306,0.222,,,,,,,,,,
