SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009,19,NOH,Chris Paul,23,5,5,40.2,6.0,14.6,0.41,1.0,3.2,0.31,5.0,11.4,0.44,0.44,3.6,4.2,0.86,0.8,3.6,4.4,10.4,1.6,0.0,4.8,1.6,16.6
2009,19,NOH,David West,28,5,5,35.6,6.4,16.0,0.4,0.0,0.0,,6.4,16.0,0.4,0.4,5.2,5.8,0.9,1.0,6.4,7.4,1.2,1.0,0.4,2.8,3.8,18.0
2009,19,NOH,Peja StojakoviA,31,5,5,32.4,3.6,9.8,0.37,1.6,5.2,0.31,2.0,4.6,0.44,0.45,2.4,2.6,0.92,0.8,2.0,2.8,0.4,0.8,0.2,1.2,3.4,11.2
2009,19,NOH,Rasual Butler,29,5,5,31.6,3.4,7.4,0.46,2.0,3.8,0.53,1.4,3.6,0.39,0.6,1.8,1.8,1.0,0.6,2.4,3.0,0.2,0.2,0.8,1.2,2.8,10.6
2009,19,NOH,James Posey,32,5,0,24.6,3.0,8.0,0.38,1.0,3.8,0.26,2.0,4.2,0.48,0.44,4.4,5.2,0.85,1.0,5.2,6.2,0.6,0.6,0.0,2.0,2.4,11.4
2009,19,NOH,Tyson Chandler,26,4,4,23.5,1.5,3.0,0.5,0.0,0.0,,1.5,3.0,0.5,0.5,0.8,1.5,0.5,2.0,3.3,5.3,0.5,0.5,0.3,2.0,4.3,3.8
2009,19,NOH,Sean Marks,33,5,0,16.0,1.2,2.6,0.46,0.0,0.2,0.0,1.2,2.4,0.5,0.46,0.8,1.0,0.8,2.0,2.0,4.0,0.0,0.6,0.4,0.4,1.8,3.2
2009,19,NOH,Hilton Armstrong,24,4,1,13.3,1.5,3.3,0.46,0.0,0.0,,1.5,3.3,0.46,0.46,0.8,2.5,0.3,0.8,1.3,2.0,0.3,1.0,0.3,1.5,3.8,3.8
2009,19,NOH,Antonio Daniels,33,5,0,12.8,0.4,2.6,0.15,0.2,0.8,0.25,0.2,1.8,0.11,0.19,1.8,2.2,0.82,0.2,0.4,0.6,1.8,0.4,0.2,1.0,0.2,2.8
2009,19,NOH,Devin Brown,30,3,0,11.0,1.0,2.7,0.38,0.0,1.3,0.0,1.0,1.3,0.75,0.38,0.7,0.7,1.0,0.7,1.0,1.7,0.0,0.0,0.0,1.0,0.7,2.7
2009,19,NOH,Morris Peterson,31,2,0,10.5,0.5,2.5,0.2,0.5,1.5,0.33,0.0,1.0,0.0,0.3,1.5,2.0,0.75,0.5,1.0,1.5,0.5,0.5,0.0,0.0,1.5,3.0
2009,19,NOH,Julian Wright,21,4,0,8.0,0.8,1.8,0.43,0.0,0.0,,0.8,1.8,0.43,0.43,0.5,1.0,0.5,0.0,1.5,1.5,0.5,0.0,0.3,0.3,1.5,2.0
2009,19,NOH,Ryan Bowen,33,1,0,2.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
