PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
John Salmons,29,26,21,37.7,6.3,13.4,0.473,1.9,4.5,0.415,4.5,8.9,0.502,0.5429999999999999,3.7,4.4,0.843,0.6,3.7,4.3,2.0,1.0,0.6,1.7,2.3,18.3
Derrick Rose,20,81,80,37.0,7.1,14.9,0.475,0.2,0.9,0.222,6.9,14.0,0.491,0.48200000000000004,2.4,3.1,0.7879999999999999,1.2,2.7,3.9,6.3,0.8,0.2,2.5,1.5,16.8
Ben Gordon,25,82,76,36.6,7.3,16.0,0.455,2.1,5.1,0.41,5.2,10.9,0.47600000000000003,0.521,4.0,4.7,0.8640000000000001,0.6,2.8,3.5,3.4,0.9,0.3,2.4,2.2,20.7
Luol Deng,23,49,46,34.0,5.4,12.1,0.44799999999999995,0.2,0.4,0.4,5.2,11.7,0.45,0.455,3.1,3.9,0.7959999999999999,1.6,4.4,6.0,1.9,1.2,0.5,1.5,1.7,14.1
Drew Gooden,27,31,27,29.6,5.2,11.4,0.457,0.0,0.1,0.0,5.2,11.3,0.461,0.457,2.7,3.1,0.866,2.6,5.9,8.6,1.4,0.8,0.5,1.8,3.3,13.1
Brad Miller,32,27,0,27.6,4.0,8.4,0.478,0.1,0.5,0.231,3.9,7.9,0.493,0.485,3.7,4.3,0.853,2.5,5.0,7.4,3.2,0.8,0.4,1.7,3.3,11.8
Tyrus Thomas,22,79,61,27.5,3.9,8.6,0.451,0.0,0.1,0.33299999999999996,3.9,8.5,0.45299999999999996,0.45299999999999996,3.0,3.8,0.7829999999999999,1.9,4.6,6.4,1.0,1.2,1.9,1.6,2.8,10.8
Larry Hughes,30,30,6,26.4,4.2,10.3,0.41200000000000003,1.3,3.4,0.392,2.9,6.9,0.42200000000000004,0.47700000000000004,2.2,2.7,0.8170000000000001,0.2,2.9,3.1,2.0,1.2,0.3,1.2,1.7,12.0
Kirk Hinrich,28,51,4,26.3,3.6,8.2,0.43700000000000006,1.4,3.3,0.408,2.2,4.9,0.456,0.519,1.3,1.7,0.7909999999999999,0.3,2.1,2.4,3.9,1.3,0.4,1.7,2.5,9.9
Joakim Noah,23,80,55,24.2,2.6,4.7,0.556,0.0,0.0,0.0,2.6,4.6,0.5579999999999999,0.556,1.5,2.3,0.6759999999999999,3.1,4.5,7.6,1.3,0.6,1.4,1.0,3.0,6.7
Andrés Nocioni,29,53,2,24.1,3.5,8.5,0.414,1.5,3.9,0.37799999999999995,2.0,4.5,0.446,0.502,1.9,2.3,0.8059999999999999,0.6,3.5,4.2,1.1,0.5,0.3,1.4,3.3,10.4
Thabo Sefolosha,24,43,14,17.1,1.8,4.2,0.434,0.3,1.2,0.3,1.5,3.1,0.485,0.475,0.5,0.6,0.84,0.6,2.3,2.9,1.5,0.8,0.4,0.9,1.2,4.5
Tim Thomas,31,18,0,14.1,2.0,5.0,0.4,1.1,2.4,0.442,0.9,2.6,0.36200000000000004,0.506,0.8,1.1,0.7,0.4,1.9,2.3,0.7,0.3,0.0,0.6,1.5,5.8
Aaron Gray,24,56,18,12.8,1.4,3.0,0.485,0.0,0.0,0.0,1.4,3.0,0.488,0.485,0.6,1.1,0.5760000000000001,1.5,2.4,3.9,0.8,0.3,0.3,0.7,2.4,3.5
Lindsey Hunter,38,28,0,9.5,1.0,2.9,0.32899999999999996,0.6,1.7,0.33299999999999996,0.4,1.2,0.324,0.42700000000000005,0.1,0.2,0.6,0.1,0.4,0.4,1.3,0.7,0.0,0.7,1.0,2.6
Cedric Simmons,23,11,0,5.5,1.0,1.9,0.524,0.0,0.0,,1.0,1.9,0.524,0.524,0.5,1.3,0.429,0.4,0.7,1.1,0.2,0.1,0.4,0.0,0.5,2.5
Linton Johnson,28,8,0,5.3,0.5,1.4,0.364,0.1,0.3,0.5,0.4,1.1,0.33299999999999996,0.409,0.0,0.0,,0.4,0.6,1.0,0.3,0.1,0.0,0.3,0.8,1.1
Anthony Roberson,25,6,0,3.8,0.8,2.8,0.294,0.3,1.7,0.2,0.5,1.2,0.429,0.353,0.0,0.0,,0.3,0.8,1.2,0.2,0.0,0.0,0.2,0.0,2.0
Demetris Nichols,24,2,0,2.5,0.5,2.0,0.25,0.0,0.5,0.0,0.5,1.5,0.33299999999999996,0.25,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,1.0
