TEAM,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
PHO,82,240.9,41.1,81.6,0.5,6.7,17.6,0.38,34.4,64.0,0.54,20.4,27.5,0.74,11.0,30.7,41.7,23.2,7.2,5.1,15.7,20.6,109.4
GSW,82,242.4,39.4,86.0,0.46,6.7,18.0,0.37,32.7,68.0,0.48,23.1,29.2,0.79,11.6,30.4,42.0,20.9,7.8,6.4,14.6,22.5,108.6
LAL,82,241.2,40.3,85.1,0.47,6.7,18.5,0.36,33.7,66.6,0.5,19.6,25.5,0.77,12.4,31.5,43.9,23.3,8.8,5.1,13.5,20.7,106.9
NYK,82,241.5,38.5,86.5,0.44,10.0,27.9,0.36,28.5,58.6,0.49,18.2,23.2,0.78,11.1,31.0,42.1,21.2,7.4,2.5,14.3,20.4,105.2
IND,82,241.8,39.3,86.3,0.46,8.0,21.0,0.38,31.3,65.3,0.48,18.6,23.0,0.81,11.3,32.5,43.7,21.6,7.0,5.3,14.5,23.1,105.1
DEN,82,240.6,37.3,79.4,0.47,6.7,18.0,0.37,30.6,61.4,0.5,23.1,30.3,0.76,11.0,30.6,41.6,22.2,8.7,6.0,15.3,22.9,104.3
UTA,82,242.4,38.3,80.8,0.48,4.8,13.7,0.35,33.5,67.1,0.5,22.1,28.7,0.77,11.5,29.5,41.0,24.7,8.8,4.6,14.8,22.3,103.6
CHI,82,243.0,38.1,83.5,0.46,6.0,15.8,0.38,32.1,67.7,0.47,19.9,25.0,0.8,11.8,30.3,42.1,21.1,7.5,5.5,14.5,20.8,102.2
DAL,82,241.5,38.1,82.6,0.46,7.0,19.9,0.35,31.2,62.7,0.5,18.5,22.6,0.82,11.1,31.6,42.7,21.7,7.2,5.2,12.7,19.5,101.7
ORL,82,240.6,35.7,78.2,0.46,10.0,26.2,0.38,25.8,52.1,0.5,19.6,27.5,0.72,10.0,33.3,43.3,19.4,7.0,5.4,13.9,20.3,101.0
BOS,82,242.4,37.5,77.2,0.49,6.6,16.5,0.4,30.9,60.7,0.51,19.4,25.3,0.76,10.6,31.5,42.1,22.7,7.6,4.7,15.6,23.1,100.9
SAC,82,242.7,36.5,81.5,0.45,7.1,19.4,0.37,29.3,62.1,0.47,20.5,25.7,0.8,10.2,28.9,39.1,19.7,6.9,4.3,15.4,23.3,100.6
CLE,82,241.2,36.9,78.7,0.47,8.0,20.4,0.39,28.9,58.3,0.5,18.6,24.5,0.76,10.8,31.4,42.2,20.3,7.2,5.3,12.7,20.3,100.3
POR,82,241.8,36.8,79.2,0.46,7.3,19.0,0.38,29.5,60.2,0.49,18.5,24.2,0.76,12.9,28.8,41.7,20.3,6.7,4.9,12.9,20.4,99.4
MIL,82,241.2,36.7,82.4,0.44,6.2,17.2,0.36,30.5,65.2,0.47,19.7,25.2,0.78,11.9,28.9,40.7,22.0,7.4,3.8,14.1,24.2,99.3
TOR,82,241.5,37.2,81.4,0.46,5.8,15.7,0.37,31.4,65.7,0.48,18.7,22.7,0.82,9.8,30.6,40.4,22.4,6.4,4.8,13.4,19.4,99.0
HOU,82,241.5,36.1,79.6,0.45,7.6,20.2,0.38,28.5,59.4,0.48,18.7,23.2,0.8,10.5,32.5,43.0,20.3,6.7,4.3,14.1,18.9,98.4
MIA,82,243.4,37.0,81.0,0.46,7.1,19.9,0.36,29.9,61.2,0.49,17.2,22.8,0.75,10.1,29.4,39.5,20.4,7.9,5.5,12.5,20.7,98.3
ALT,82,240.3,36.0,78.7,0.46,7.3,19.9,0.37,28.8,58.8,0.49,18.7,25.4,0.74,10.6,29.4,40.0,20.2,7.4,4.6,12.8,19.6,98.1
NJN,82,241.8,35.7,79.7,0.45,8.0,21.2,0.38,27.7,58.5,0.47,18.8,24.1,0.78,10.4,29.5,39.8,20.0,6.8,4.8,13.1,22.4,98.1
MIN,82,241.5,36.4,82.5,0.44,6.6,18.8,0.35,29.8,63.7,0.47,18.3,23.9,0.77,11.9,29.8,41.7,20.4,6.2,3.9,14.2,21.8,97.8
PHI,82,240.9,36.5,79.7,0.46,4.2,13.1,0.32,32.4,66.6,0.49,20.1,27.0,0.74,12.7,28.5,41.2,20.1,8.0,5.1,14.1,20.1,97.4
SAS,82,242.7,37.1,79.7,0.47,7.6,19.8,0.39,29.5,59.9,0.49,15.2,20.0,0.76,8.9,32.2,41.0,21.2,5.8,4.0,11.7,18.9,97.0
OKC,82,241.5,36.6,81.9,0.45,4.0,11.6,0.35,32.6,70.3,0.46,19.8,25.2,0.79,12.2,30.5,42.6,20.3,7.4,4.5,16.2,20.2,97.0
WAS,82,240.3,36.5,81.2,0.45,4.8,14.6,0.33,31.7,66.5,0.48,18.2,23.8,0.77,11.7,28.4,40.1,20.0,7.5,4.5,14.0,20.5,96.1
NOH,82,240.9,35.5,77.6,0.46,6.8,18.6,0.36,28.7,59.0,0.49,18.0,22.4,0.81,9.8,29.9,39.7,19.6,7.2,4.1,12.5,20.3,95.8
LAC,82,242.4,36.0,81.7,0.44,6.5,18.5,0.35,29.5,63.2,0.47,16.5,22.4,0.74,10.9,29.0,39.8,21.0,7.0,5.9,14.9,20.1,95.1
DET,82,242.7,36.4,80.0,0.45,4.6,13.2,0.35,31.8,66.8,0.48,16.9,22.5,0.75,11.6,29.9,41.4,20.6,6.0,4.6,11.9,20.9,94.2
MEM,82,241.5,34.9,77.0,0.45,4.9,13.5,0.36,30.1,63.5,0.47,19.1,25.3,0.76,10.3,28.5,38.8,17.4,7.5,4.7,15.3,21.7,93.9
CHA,82,243.0,35.0,76.8,0.46,6.0,16.3,0.37,29.0,60.5,0.48,17.7,24.0,0.74,10.8,28.9,39.7,21.2,7.1,4.8,15.6,21.4,93.6
