SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010,7,DAL,Dirk Nowitzki,31,81,80,3039,8.5,17.7,0.48,0.6,1.4,0.42,7.9,16.3,0.49,6.3,6.9,0.92,0.9,6.4,7.3,2.6,0.8,0.9,1.8,2.5,24.0
2010,7,DAL,Jason Kidd,36,80,80,2881,3.5,8.4,0.42,2.2,5.2,0.42,1.3,3.2,0.42,1.0,1.2,0.81,0.6,5.0,5.6,9.0,1.8,0.4,2.4,1.8,10.3
2010,7,DAL,Jason Terry,32,77,12,2540,6.5,14.8,0.44,1.9,5.3,0.36,4.5,9.5,0.48,3.3,3.8,0.87,0.3,1.7,2.0,4.1,1.3,0.2,1.5,2.0,18.1
2010,7,DAL,Shawn Marion,31,75,75,2385,6.0,11.7,0.51,0.0,0.3,0.16,5.9,11.5,0.52,1.6,2.1,0.76,2.4,4.8,7.2,1.6,1.0,0.9,1.5,2.1,13.6
2010,7,DAL,J.J. Barea,25,78,18,1546,5.4,12.3,0.44,1.3,3.7,0.36,4.1,8.6,0.48,1.8,2.1,0.84,0.4,3.0,3.4,6.0,0.8,0.1,2.4,2.8,13.9
2010,7,DAL,Erick Dampier,34,55,47,1280,3.7,6.0,0.62,0.0,0.1,0.33,3.7,5.9,0.63,1.7,2.8,0.6,3.6,7.7,11.3,0.9,0.4,2.2,1.7,4.3,9.2
2010,7,DAL,Drew Gooden,28,46,11,1030,5.5,11.7,0.47,0.0,0.2,0.17,5.5,11.5,0.47,3.3,4.0,0.81,4.3,6.7,11.0,0.9,0.9,1.7,2.0,4.5,14.3
2010,7,DAL,Caron Butler,29,27,27,930,6.1,13.8,0.44,0.7,1.9,0.34,5.4,11.9,0.46,3.1,4.0,0.76,1.4,4.2,5.6,1.9,1.9,0.3,1.8,2.6,15.9
2010,7,DAL,Josh Howard,29,31,9,827,6.0,14.9,0.4,0.9,3.3,0.27,5.1,11.6,0.44,4.1,5.2,0.79,1.1,3.7,4.9,1.9,1.0,0.4,1.9,3.4,16.9
2010,7,DAL,Brendan Haywood,30,28,19,741,4.3,7.6,0.56,0.0,0.0,0.0,4.3,7.5,0.57,2.4,4.2,0.57,3.8,6.3,10.1,1.2,0.4,2.8,1.6,3.1,11.0
2010,7,DAL,Rodrigue Beaubois,21,56,16,700,8.0,15.4,0.52,2.3,5.7,0.41,5.7,9.7,0.58,2.2,2.7,0.81,0.6,3.4,4.0,3.8,1.5,0.6,2.8,4.3,20.4
2010,7,DAL,Eduardo Najera,33,33,3,481,3.1,7.0,0.45,1.2,3.5,0.34,1.9,3.4,0.56,0.6,0.9,0.67,1.6,4.1,5.8,1.0,1.3,0.9,1.0,4.6,8.1
2010,7,DAL,Kris Humphries,24,25,0,315,6.1,13.1,0.46,0.0,0.0,,6.1,13.1,0.46,2.9,5.0,0.57,4.3,6.5,10.9,0.8,0.8,1.3,1.5,4.9,15.0
2010,7,DAL,Quinton Ross,28,27,7,301,2.8,6.7,0.41,0.4,1.6,0.23,2.4,5.1,0.46,0.6,1.0,0.62,1.3,1.9,3.2,0.8,0.8,0.5,0.4,4.1,6.5
2010,7,DAL,Tim Thomas,32,18,1,285,6.2,13.4,0.46,2.0,5.4,0.37,4.2,8.0,0.52,2.7,3.0,0.88,1.6,3.5,5.2,1.8,1.3,0.3,1.8,3.9,17.1
2010,7,DAL,DeShawn Stevenson,28,24,5,267,2.3,8.1,0.28,1.1,3.4,0.32,1.2,4.7,0.26,0.9,1.3,0.7,0.5,3.0,3.5,1.6,0.7,0.1,0.8,3.1,6.6
2010,7,DAL,James Singleton,28,25,0,211,4.1,10.9,0.38,0.9,3.8,0.23,3.2,7.2,0.45,1.0,1.0,1.0,2.9,6.5,9.4,1.5,1.9,1.2,2.0,5.3,10.1
2010,7,DAL,Matt Carroll,29,25,0,121,5.4,14.9,0.36,1.2,5.7,0.21,4.2,9.2,0.45,1.8,1.8,1.0,1.2,2.4,3.6,1.8,1.5,0.0,2.1,3.9,13.7
