NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
13,David Andersen,C,6-11,245,1980-06-23,AU,R,
1,Trevor Ariza,SF,6-8,215,1985-06-30,US,5,UCLA
3,Hilton Armstrong,C,6-11,235,1984-11-11,US,3,UConn
31,Shane Battier,SG,6-8,220,1978-09-09,US,8,Duke
0,Aaron Brooks,PG,6-0,161,1985-01-14,US,2,Oregon
10,Chase Budinger,SF,6-7,209,1988-05-22,US,R,Arizona
5,Will Conroy,PG,6-2,195,1982-12-08,US,1,Washington
43,Brian Cook,PF,6-9,234,1980-12-04,US,6,Illinois
15,Joey Dorsey,PF,6-8,268,1983-12-16,US,1,Memphis
33,Mike Harris,PF,6-6,240,1983-06-15,US,1,Rice University
44,Chuck Hayes,C,6-6,240,1983-06-11,US,4,Kentucky
27,Jordan Hill,PF,6-10,235,1987-07-27,US,R,Arizona
20,Jared Jeffries,SF,6-11,230,1981-11-25,US,7,Indiana
14,Carl Landry,PF,6-9,248,1983-09-19,US,2,Purdue
7,Kyle Lowry,PG,6-0,196,1986-03-25,US,3,Villanova
12,Kevin Martin,SG,6-7,199,1983-02-01,US,5,Western Carolina University
3,Tracy McGrady,SG,6-8,210,1979-05-24,US,12,
21,Pops Mensah-Bonsu,PF,6-9,240,1983-09-07,GB,2,George Washington
4,Luis Scola,PF,6-9,240,1980-04-30,AR,2,
8,Jermaine Taylor,SG,6-4,210,1986-12-08,US,R,Central Florida
2,Garrett Temple,SG,6-5,195,1986-05-08,US,R,LSU
