SEASON,TEAM ID,TEAM,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
2011,22,ORL,35,Malik Allen,PF,6-10,255,1978-06-27,US,9,Villanova
2011,22,ORL,33,Ryan Anderson,PF,6-9,240,1988-05-06,US,2,California
2011,22,ORL,1,Gilbert Arenas,PG,6-3,191,1982-01-06,US,9,Arizona
2011,22,ORL,30,Brandon Bass,PF,6-8,250,1985-04-30,US,5,LSU
2011,22,ORL,15,Vince Carter,SG,6-6,220,1977-01-26,US,12,UNC
2011,22,ORL,3,Earl Clark,SF,6-10,225,1988-01-17,US,1,Louisville
2011,22,ORL,25,Chris Duhon,PG,6-1,185,1982-08-31,US,6,Duke
2011,22,ORL,13,Marcin Gortat,C,6-11,240,1984-02-17,PL,3,
2011,22,ORL,12,Dwight Howard,C,6-10,265,1985-12-08,US,6,
2011,22,ORL,9,Rashard Lewis,PF,6-10,215,1979-08-08,US,12,
2011,22,ORL,14,Jameer Nelson,PG,6-0,190,1982-02-09,US,6,Saint Joseph's
2011,22,ORL,20,Mickael Pietrus,SF,6-6,215,1982-02-07,GP,7,
2011,22,ORL,7,J.J. Redick,SG,6-3,200,1984-06-24,US,4,Duke
2011,22,ORL,23,Jason Richardson,SG,6-6,220,1981-01-20,US,9,Michigan State
2011,22,ORL,5,Quentin Richardson,SF,6-6,223,1980-04-13,US,10,DePaul
2011,22,ORL,15,Hedo Turkoglu,SF,6-10,220,1979-03-19,TR,10,
2011,22,ORL,44,Jason Williams,PG,6-1,190,1975-11-18,US,11,"Marshall, Florida"
