PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Marco Belinelli,25,66,55,1966,5.2,12.6,0.41700000000000004,2.0,5.2,0.377,3.3,7.4,0.445,1.8,2.4,0.7829999999999999,0.3,2.8,3.1,1.8,0.9,0.1,1.3,2.1,14.3
Greivis Vásquez,25,66,26,1706,4.7,11.0,0.43,0.9,2.8,0.319,3.8,8.2,0.469,2.0,2.5,0.821,0.5,3.2,3.7,7.6,1.3,0.2,3.1,2.7,12.4
Jarrett Jack,28,45,39,1530,6.3,13.7,0.456,0.9,2.6,0.348,5.3,11.1,0.48200000000000004,3.0,3.5,0.872,0.5,3.6,4.1,6.7,0.7,0.2,2.5,2.2,16.5
Al-Farouq Aminu,21,66,21,1477,3.7,8.9,0.41100000000000003,0.3,1.1,0.27699999999999997,3.3,7.8,0.431,2.1,2.8,0.754,2.3,5.2,7.5,1.6,1.4,0.8,2.2,3.3,9.7
Chris Kaman,29,47,33,1372,7.0,15.7,0.446,0.0,0.0,,7.0,15.7,0.446,2.2,2.8,0.785,2.3,7.2,9.6,2.7,0.7,2.0,3.4,2.8,16.2
Trevor Ariza,26,41,41,1350,4.5,10.7,0.41700000000000004,0.8,2.3,0.33299999999999996,3.7,8.4,0.44,2.1,2.7,0.775,1.1,4.6,5.7,3.6,1.8,0.7,2.0,1.9,11.8
Gustavo Ayón,26,54,24,1088,4.6,8.6,0.536,0.0,0.0,0.0,4.6,8.6,0.5379999999999999,1.3,2.1,0.619,2.8,5.9,8.8,2.4,1.8,1.5,1.5,3.9,10.6
Carl Landry,28,41,8,999,6.6,13.0,0.503,0.0,0.1,0.0,6.6,12.9,0.507,5.3,6.6,0.799,2.8,4.9,7.7,1.4,0.5,0.4,2.3,3.2,18.4
Jason Smith,25,40,29,947,6.9,13.2,0.52,0.0,0.3,0.111,6.8,12.9,0.531,1.3,1.8,0.7020000000000001,2.7,4.7,7.5,1.3,0.8,1.6,1.5,3.9,15.1
Emeka Okafor,29,27,27,781,5.3,9.9,0.5329999999999999,0.0,0.0,,5.3,9.9,0.5329999999999999,1.8,3.4,0.514,3.2,6.6,9.8,1.1,0.7,1.2,1.7,3.4,12.3
Xavier Henry,20,45,0,759,4.3,10.8,0.395,0.3,0.8,0.41200000000000003,3.9,10.0,0.39299999999999996,2.5,4.0,0.612,1.1,3.9,5.0,1.7,1.2,0.4,1.7,2.8,11.3
Lance Thomas,23,42,10,630,3.3,7.2,0.452,0.0,0.1,0.0,3.3,7.1,0.456,3.0,3.5,0.8390000000000001,2.8,4.4,7.2,0.7,0.6,0.4,1.4,4.5,9.5
Eric Gordon,23,9,9,310,7.3,16.3,0.45,1.2,4.6,0.25,6.2,11.6,0.53,5.7,7.5,0.754,0.2,2.7,2.9,3.6,1.5,0.5,2.8,2.3,21.5
DaJuan Summers,24,15,6,209,4.8,11.2,0.431,0.9,2.8,0.313,4.0,8.4,0.469,1.2,1.6,0.778,1.4,2.6,4.0,1.7,1.2,0.0,1.4,5.3,11.7
Solomon Jones,27,11,1,196,4.2,9.7,0.434,0.0,0.0,,4.2,9.7,0.434,2.8,3.3,0.833,3.9,3.7,7.5,1.3,0.9,1.1,2.4,5.7,11.2
Jerome Dyson,24,9,1,180,3.8,9.6,0.396,0.2,1.6,0.125,3.6,8.0,0.45,5.6,7.2,0.778,0.4,3.4,3.8,3.6,2.2,0.4,4.0,3.8,13.4
Carldell Johnson,29,15,0,119,3.3,10.6,0.314,1.2,4.5,0.267,2.1,6.1,0.35,0.3,0.9,0.33299999999999996,0.3,2.4,2.7,6.7,2.4,0.0,2.1,3.3,8.2
Darryl Watkins,27,5,0,98,2.6,5.1,0.5,0.0,0.0,,2.6,5.1,0.5,3.3,6.6,0.5,2.9,7.0,9.9,1.1,1.8,1.5,2.9,5.1,8.4
Chris Johnson,26,7,0,82,4.0,7.9,0.5,0.0,0.0,,4.0,7.9,0.5,2.2,3.1,0.7140000000000001,3.1,6.6,9.7,0.4,2.2,0.4,3.5,5.7,10.1
Trey Johnson,27,11,0,61,4.7,8.3,0.5710000000000001,0.0,0.0,,4.7,8.3,0.5710000000000001,3.0,3.0,1.0,1.8,5.3,7.1,2.4,0.6,0.0,3.0,5.9,12.4
Donald Sloan,24,3,0,41,4.4,12.3,0.35700000000000004,0.0,1.8,0.0,4.4,10.5,0.41700000000000004,1.8,3.5,0.5,1.8,0.9,2.6,7.0,1.8,0.0,4.4,1.8,10.5
Jeff Foote,24,4,0,39,1.8,5.5,0.33299999999999996,0.0,0.0,,1.8,5.5,0.33299999999999996,0.0,0.0,,0.9,4.6,5.5,0.0,0.0,0.9,1.8,4.6,3.7
