PLAYER,AGE,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
Greg Monroe,22.0,81.0,2687.0,0.486,0.488,0.0,0.486,0.6890000000000001,0.527,0.37,0.004,107.0,101.0,,98.0,91.0,99.0,137.0,2.0,-22.4,-17.7
Brandon Knight,21.0,75.0,2365.0,0.40700000000000003,0.43,0.36700000000000005,0.475,0.733,0.511,0.256,0.37200000000000005,90.0,89.0,102.0,96.0,97.0,96.0,95.0,153.0,-37.7,-45.6
Rodney Stuckey,26.0,76.0,2171.0,0.406,0.44,0.302,0.44299999999999995,0.7829999999999999,0.505,0.364,0.243,90.0,91.0,84.0,89.0,104.0,94.0,134.0,100.0,-79.6,-51.8
Kyle Singler,24.0,82.0,2293.0,0.428,0.46399999999999997,0.35,0.483,0.8059999999999999,0.517,0.193,0.311,95.0,96.0,98.0,97.0,107.0,97.0,71.0,128.0,-17.4,-24.8
Will Bynum,30.0,65.0,1219.0,0.469,0.493,0.316,0.491,0.809,0.532,0.243,0.141,103.0,102.0,88.0,99.0,107.0,100.0,90.0,58.0,-6.1,-3.0
Tayshaun Prince,32.0,45.0,1457.0,0.444,0.446,0.434,0.46799999999999997,0.7959999999999999,0.502,0.192,0.11,98.0,92.0,121.0,94.0,106.0,94.0,71.0,45.0,-27.5,-34.3
Jason Maxiell,29.0,72.0,1789.0,0.446,0.446,,0.446,0.621,0.478,0.317,0.0,99.0,92.0,,90.0,82.0,89.0,117.0,,-45.7,-58.9
Andre Drummond,19.0,60.0,1243.0,0.608,0.609,0.5,0.61,0.371,0.578,0.465,0.006,134.0,126.0,139.0,123.0,49.0,108.0,172.0,2.0,77.4,35.5
Charlie Villanueva,28.0,69.0,1092.0,0.377,0.415,0.34700000000000003,0.474,0.551,0.48100000000000004,0.106,0.5579999999999999,83.0,86.0,97.0,96.0,73.0,90.0,39.0,229.0,-20.7,-52.2
Jonas Jerebko,25.0,49.0,892.0,0.449,0.502,0.301,0.489,0.773,0.531,0.27899999999999997,0.263,99.0,104.0,84.0,98.0,103.0,99.0,103.0,108.0,-4.7,-2.3
Jason Maxiell,31.0,28.0,887.0,0.527,0.532,0.52,0.635,0.893,0.654,0.11800000000000001,0.413,116.0,110.0,145.0,128.0,119.0,122.0,44.0,170.0,65.7,59.4
Khris Middleton,21.0,27.0,475.0,0.44,0.5,0.311,0.489,0.8440000000000001,0.532,0.22699999999999998,0.319,97.0,104.0,87.0,99.0,112.0,100.0,84.0,131.0,-2.0,-0.8
Austin Daye,24.0,24.0,348.0,0.44299999999999995,0.386,0.525,0.552,0.833,0.581,0.18600000000000003,0.41200000000000003,98.0,80.0,146.0,111.0,111.0,109.0,69.0,169.0,10.7,9.8
Kim English,24.0,41.0,407.0,0.375,0.452,0.28,0.43799999999999994,0.7240000000000001,0.47700000000000004,0.259,0.446,83.0,94.0,78.0,88.0,96.0,89.0,96.0,183.0,-13.2,-14.4
Corey Maggette,33.0,18.0,257.0,0.355,0.4,0.23800000000000002,0.38799999999999996,0.75,0.489,0.632,0.276,78.0,83.0,66.0,78.0,100.0,91.0,233.0,114.0,-16.5,-8.8
Viacheslav Kravtsov,25.0,25.0,224.0,0.7170000000000001,0.7170000000000001,,0.7170000000000001,0.297,0.618,0.804,0.0,158.0,149.0,,145.0,39.0,116.0,297.0,,20.3,10.4
Team,,,,0.446,0.47600000000000003,0.335,0.48200000000000004,0.6890000000000001,0.517,0.297,0.215,99.0,99.0,93.0,97.0,92.0,97.0,110.0,88.0,-168.4,-234.3
League Average,,,,0.45299999999999996,0.483,0.359,0.496,0.753,0.535,0.271,0.243,,,,,,,,,,
