PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Martell Webster,26,76,2200,13.9,0.601,0.517,0.311,2.7,12.2,7.4,10.7,1.2,0.6,11.1,16.9,,3.9,2.4,6.3,0.138,,0.5,0.3,0.8,1.6
Emeka Okafor,30,79,2052,15.8,0.496,0.0,0.278,10.7,26.8,18.7,7.9,1.1,3.0,12.2,19.5,,0.7,3.7,4.5,0.10400000000000001,,-1.0,0.3,-0.7,0.7
Bradley Beal,19,56,1745,13.6,0.515,0.344,0.231,2.7,10.8,6.7,13.7,1.5,1.3,10.6,22.2,,1.0,2.0,3.0,0.08199999999999999,,0.0,0.2,0.2,1.0
Kevin Séraphin,23,79,1721,10.3,0.478,0.0,0.12300000000000001,6.8,15.5,11.1,6.1,0.7,2.7,14.7,23.5,,-2.1,2.2,0.1,0.004,,-4.9,-0.7,-5.5,-1.5
Nenê Hilário,30,61,1659,17.0,0.5379999999999999,0.002,0.45299999999999996,6.7,20.6,13.6,19.0,1.7,1.8,16.3,23.4,,1.3,2.7,4.0,0.11599999999999999,,-0.4,1.7,1.3,1.3
John Wall,22,49,1602,20.8,0.521,0.061,0.41600000000000004,2.4,11.2,6.8,43.9,2.1,1.8,15.3,29.3,,2.2,2.2,4.5,0.134,,2.7,1.1,3.9,2.4
Trevor Ariza,27,56,1471,14.0,0.5379999999999999,0.46299999999999997,0.21100000000000002,3.3,16.9,10.0,12.7,2.5,1.1,14.6,17.9,,0.7,2.4,3.1,0.102,,0.1,2.0,2.1,1.6
A.J. Price,26,57,1278,12.4,0.501,0.484,0.15,1.7,8.2,4.9,26.4,1.3,0.2,12.7,18.0,,1.0,1.2,2.2,0.084,,-0.2,-0.4,-0.6,0.5
Garrett Temple,26,51,1156,8.8,0.478,0.31,0.14300000000000002,2.8,9.1,5.9,15.5,2.3,1.2,18.2,13.2,,-0.3,1.5,1.2,0.049,,-3.8,1.5,-2.3,-0.1
Jordan Crawford,24,43,1127,14.7,0.512,0.337,0.209,3.0,10.3,6.6,25.5,1.2,0.4,14.9,26.4,,0.2,1.1,1.4,0.057999999999999996,,1.3,-0.8,0.5,0.7
Chris Singleton,23,57,924,7.8,0.425,0.149,0.29,6.1,16.1,11.0,6.3,2.1,2.1,14.2,15.7,,-1.0,1.5,0.5,0.027999999999999997,,-5.6,1.3,-4.3,-0.6
Trevor Booker,25,48,887,13.9,0.509,0.023,0.327,12.2,17.8,14.9,7.4,1.9,1.4,11.0,14.5,,0.9,1.4,2.3,0.126,,-1.5,0.6,-1.0,0.2
Cartier Martin,28,41,694,9.7,0.511,0.579,0.111,1.7,14.3,8.0,4.8,1.4,0.7,10.8,19.5,,-0.2,0.9,0.7,0.047,,-1.6,-0.5,-2.1,0.0
Jan Veselý,22,51,601,7.6,0.48,0.009000000000000001,0.342,7.9,14.7,11.3,7.3,1.3,2.2,17.1,12.0,,-0.1,0.8,0.7,0.059000000000000004,,-5.6,1.0,-4.7,-0.4
Shaun Livingston,27,17,320,7.4,0.434,0.045,0.22699999999999998,0.7,12.2,6.4,18.1,1.8,0.5,19.0,12.8,,-0.2,0.4,0.2,0.027999999999999997,,-5.4,1.6,-3.9,-0.1
Shelvin Mack,22,7,141,10.4,0.45299999999999996,0.325,0.05,2.3,10.3,6.3,26.3,2.2,0.0,16.4,15.8,,0.0,0.2,0.2,0.052000000000000005,,-2.9,1.2,-1.7,0.0
Earl Barron,31,11,122,6.9,0.35700000000000004,0.0,0.135,14.4,24.7,19.5,3.9,2.1,3.2,20.3,18.4,,-0.3,0.3,-0.1,-0.025,,-8.3,-0.5,-8.9,-0.2
Jannero Pargo,33,7,102,0.2,0.319,0.625,0.063,0.0,6.6,3.3,21.0,0.0,0.8,19.6,18.3,,-0.3,0.1,-0.3,-0.129,,-7.4,-3.0,-10.5,-0.2
Jason Collins,34,6,54,2.9,0.29100000000000004,0.0,0.33299999999999996,2.0,14.5,8.2,5.2,1.9,5.9,22.5,7.5,,-0.1,0.1,0.0,0.016,,-8.9,3.7,-5.2,0.0
