PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
John Wall,23,82,82,2980,7.0,16.2,0.433,1.3,3.7,0.35100000000000003,5.7,12.4,0.45799999999999996,3.8,4.8,0.805,0.5,3.6,4.0,8.7,1.8,0.5,3.6,2.6,19.1
Trevor Ariza,28,77,77,2723,5.1,11.3,0.456,2.4,5.8,0.40700000000000003,2.8,5.4,0.509,2.0,2.6,0.772,1.3,5.0,6.3,2.5,1.7,0.3,1.7,2.4,14.6
Marcin Gortat,29,81,80,2655,6.2,11.4,0.542,0.0,0.0,1.0,6.2,11.4,0.541,2.1,3.1,0.6859999999999999,2.7,7.7,10.4,1.9,0.6,1.6,1.7,2.7,14.5
Bradley Beal,20,73,73,2530,6.8,16.3,0.419,2.0,4.9,0.402,4.9,11.5,0.426,2.1,2.7,0.7879999999999999,0.8,3.1,3.9,3.5,1.0,0.3,1.8,2.2,17.8
Martell Webster,27,78,13,2157,4.2,9.8,0.433,2.4,6.2,0.392,1.8,3.6,0.502,1.8,2.1,0.84,0.6,3.1,3.7,1.6,0.7,0.3,1.0,2.5,12.7
Andre Miller,31,53,37,1560,6.9,13.7,0.503,0.0,0.1,0.2,6.9,13.6,0.506,3.6,6.1,0.583,1.5,5.3,6.8,3.5,1.5,1.1,2.7,3.8,17.4
Trevor Booker,26,72,45,1553,5.1,9.3,0.551,0.0,0.0,0.0,5.1,9.3,0.5539999999999999,1.1,1.8,0.618,3.5,5.3,8.8,1.5,1.0,1.0,1.3,3.0,11.4
Garrett Temple,27,75,0,638,2.9,8.0,0.36200000000000004,0.3,1.6,0.207,2.5,6.3,0.402,1.7,2.4,0.698,1.2,2.7,3.8,4.1,2.0,0.6,2.4,4.1,7.8
Kevin Séraphin,24,53,1,578,6.9,13.7,0.505,0.0,0.0,,6.9,13.7,0.505,1.7,1.9,0.871,3.3,4.7,8.0,1.1,0.2,1.6,2.6,6.4,15.5
Al Harrington,33,34,0,511,5.8,14.6,0.396,2.4,7.0,0.34,3.4,7.5,0.449,1.9,2.5,0.7709999999999999,1.1,4.6,5.6,2.0,1.0,0.0,2.4,5.1,15.9
Jan Veselý,23,33,1,470,3.7,7.0,0.522,0.0,0.0,,3.7,7.0,0.522,0.6,2.3,0.267,4.1,4.6,8.7,0.8,2.0,1.5,1.7,4.9,8.0
Andre Miller,37,28,0,412,3.5,7.6,0.46,0.2,0.3,0.667,3.3,7.3,0.452,2.2,2.6,0.833,1.0,3.9,5.0,8.5,1.7,0.2,2.4,3.8,9.3
Drew Gooden,32,22,0,395,6.9,13.0,0.531,0.6,1.5,0.41200000000000003,6.3,11.5,0.5479999999999999,2.2,2.5,0.889,3.4,7.0,10.4,1.4,0.9,0.6,1.5,4.8,16.7
Otto Porter,20,37,0,319,3.7,10.3,0.363,0.5,2.4,0.19,3.3,7.9,0.414,0.9,1.4,0.667,2.4,4.1,6.4,1.1,0.9,0.1,1.6,2.9,8.8
Chris Singleton,24,25,0,250,3.6,9.6,0.373,1.0,2.7,0.368,2.6,6.9,0.375,2.6,3.6,0.72,2.6,5.3,7.9,0.9,1.3,0.4,2.4,3.6,10.8
Eric Maynor,26,23,0,215,3.5,12.1,0.292,1.3,4.2,0.32,2.2,7.9,0.27699999999999997,0.3,0.5,0.667,1.2,2.8,4.0,6.7,0.8,0.2,2.8,2.2,8.7
Glen Rice,23,11,1,109,3.6,12.2,0.297,1.7,5.6,0.294,2.0,6.6,0.3,1.7,2.3,0.7140000000000001,1.3,5.3,6.6,2.3,2.0,0.3,3.0,2.3,10.6
