PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Nerlens Noel,20,75,71,2311,6.6,14.2,0.462,0.0,0.0,,6.6,14.2,0.462,3.0,5.0,0.609,4.0,9.2,13.3,2.8,2.9,3.1,3.2,4.5,16.1,,96,99
Robert Covington,24,70,49,1956,7.7,19.4,0.396,4.3,11.4,0.374,3.4,7.9,0.426,4.6,5.6,0.82,1.7,6.4,8.1,2.7,2.5,0.8,3.3,4.8,24.2,,104,104
Luc Mbah a Moute,28,67,61,1916,6.6,16.6,0.395,1.6,5.3,0.307,4.9,11.4,0.435,2.5,4.3,0.589,2.1,6.4,8.6,2.8,2.1,0.5,2.6,2.7,17.3,,93,106
Hollis Thompson,23,71,23,1776,6.3,15.3,0.413,3.2,8.1,0.401,3.1,7.2,0.426,1.8,2.5,0.708,1.5,4.1,5.6,2.4,1.6,0.7,1.9,4.0,17.7,,105,108
Henry Sims,24,73,32,1399,8.5,18.0,0.474,0.1,0.8,0.182,8.4,17.2,0.488,3.8,4.9,0.774,4.3,8.5,12.9,2.8,1.4,1.1,3.5,4.8,21.0,,100,105
Michael Carter-Williams,23,41,38,1391,8.4,22.0,0.38,1.2,4.5,0.256,7.2,17.5,0.41200000000000003,4.2,6.6,0.643,1.5,7.6,9.2,10.9,2.2,0.6,6.3,3.7,22.1,,88,105
Jerami Grant,20,65,11,1377,4.5,12.8,0.35200000000000004,1.8,5.7,0.314,2.7,7.1,0.38299999999999995,4.2,7.0,0.591,1.8,5.4,7.2,2.9,1.5,2.5,3.1,5.2,15.0,,91,106
K.J. McDaniels,21,52,15,1319,6.3,15.9,0.39899999999999997,1.6,5.6,0.293,4.7,10.3,0.456,3.8,5.0,0.7559999999999999,2.4,5.0,7.4,2.7,1.7,2.6,4.0,4.6,18.1,,92,105
JaKarr Sampson,21,74,32,1131,6.5,15.3,0.42200000000000004,1.4,5.6,0.244,5.1,9.7,0.525,2.8,4.2,0.67,1.6,5.7,7.2,3.4,1.7,1.2,3.4,6.0,17.1,,93,106
Tony Wroten,21,30,15,895,9.8,24.3,0.40299999999999997,2.1,8.0,0.261,7.7,16.4,0.473,6.7,10.1,0.667,1.2,3.6,4.8,8.8,2.7,0.4,6.3,4.0,28.4,,94,106
Ish Smith,26,25,14,677,9.5,23.8,0.39799999999999996,1.3,4.1,0.309,8.2,19.8,0.41600000000000004,2.1,3.6,0.583,0.7,4.7,5.4,11.3,2.4,0.4,5.1,2.8,22.3,,90,106
Isaiah Canaan,23,22,12,569,8.2,21.8,0.377,5.2,14.3,0.364,3.0,7.5,0.4,2.9,3.4,0.846,0.6,4.1,4.8,6.1,1.3,0.3,3.4,4.8,24.5,,102,109
Furkan Aldemir,23,41,9,540,3.7,7.2,0.513,0.0,0.5,0.0,3.7,6.8,0.5479999999999999,1.2,2.5,0.48100000000000004,7.2,9.1,16.3,2.6,1.6,1.5,1.6,8.9,8.6,,117,104
Jason Richardson,34,19,15,416,7.5,21.5,0.348,3.7,11.6,0.32299999999999995,3.7,9.9,0.37799999999999995,2.0,2.7,0.773,1.6,6.4,8.0,4.6,1.6,0.4,1.9,3.4,20.7,,98,107
Thomas Robinson,23,22,0,407,9.7,20.8,0.467,0.0,0.2,0.0,9.7,20.6,0.473,4.3,7.1,0.603,7.6,13.3,20.9,3.0,2.0,1.1,3.2,6.2,23.8,,103,100
Brandon Davies,23,20,6,379,6.5,15.7,0.41200000000000003,0.9,4.0,0.233,5.6,11.8,0.47200000000000003,2.8,4.4,0.636,4.6,5.0,9.7,3.7,2.2,0.5,3.3,7.1,16.7,,96,106
Alexey Shved,26,17,0,285,9.1,22.9,0.4,3.0,10.0,0.298,6.2,12.8,0.479,8.4,10.0,0.8420000000000001,1.4,2.5,3.9,8.1,2.5,0.2,3.2,3.7,29.7,,113,108
Larry Drew,24,12,1,219,4.6,13.3,0.345,0.9,6.0,0.154,3.7,7.3,0.5,0.5,0.7,0.667,0.2,3.2,3.4,10.3,1.4,0.0,5.7,3.0,10.5,,77,110
Malcolm Thomas,26,17,0,194,4.7,10.3,0.45,0.0,1.8,0.0,4.7,8.5,0.545,2.3,3.4,0.6920000000000001,4.1,10.3,14.5,1.8,0.8,0.3,3.4,4.4,11.6,,91,106
Chris Johnson,24,9,2,187,5.1,16.1,0.317,2.7,10.5,0.256,2.4,5.6,0.429,1.6,2.1,0.75,0.8,6.2,7.0,0.8,2.4,1.3,2.4,5.1,14.5,,81,104
Tim Frazier,24,6,3,171,3.8,12.6,0.302,0.9,3.2,0.273,2.9,9.4,0.313,1.5,4.4,0.33299999999999996,1.2,4.4,5.6,12.6,1.8,0.0,5.3,4.7,10.0,,79,108
Glenn Robinson,21,10,1,153,5.9,14.1,0.419,1.3,4.3,0.308,4.6,9.8,0.467,1.3,2.6,0.5,3.6,4.6,8.2,2.6,1.0,0.3,2.6,3.3,14.4,,94,110
Drew Gordon,24,9,0,71,5.6,13.4,0.42100000000000004,0.0,2.1,0.0,5.6,11.3,0.5,0.7,1.4,0.5,4.9,7.8,12.7,1.4,0.7,0.0,5.6,4.9,12.0,,73,108
JaVale McGee,27,6,0,61,6.6,14.8,0.444,0.0,0.0,,6.6,14.8,0.444,1.6,3.3,0.5,3.3,7.4,10.7,1.6,0.0,0.8,4.1,1.6,14.8,,82,109
Malcolm Lee,24,1,0,2,0.0,25.1,0.0,0.0,0.0,,0.0,25.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,115
