SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2015,17,MIL,Giannis Antetokounmpo,20.0,81,71.0,2541,383,780,0.49,7,44,0.16,376,736,0.51,0.5,257,347,0.74,100,442,542,207,73,85,173,254,1030
2015,17,MIL,Khris Middleton,23.0,79,58.0,2378,406,869,0.47,109,268,0.41,297,601,0.49,0.53,134,156,0.86,48,299,347,182,122,11,113,183,1055
2015,17,MIL,Zaza Pachulia,30.0,73,45.0,1730,240,529,0.45,0,3,0.0,240,526,0.46,0.45,126,160,0.79,197,303,500,178,80,21,133,170,606
2015,17,MIL,Jerryd Bayless,26.0,77,4.0,1717,220,516,0.43,37,120,0.31,183,396,0.46,0.46,121,137,0.88,22,189,211,233,59,12,133,163,598
2015,17,MIL,Jared Dudley,29.0,72,22.0,1717,198,423,0.47,74,192,0.38,124,231,0.54,0.56,48,67,0.72,45,175,220,130,72,11,62,113,518
2015,17,MIL,O.J. Mayo,27.0,71,15.0,1697,296,701,0.42,99,277,0.36,197,424,0.46,0.49,115,139,0.83,30,157,187,197,57,18,128,165,806
2015,17,MIL,Brandon Knight,23.0,52,52.0,1688,324,745,0.44,104,254,0.41,220,491,0.45,0.5,171,194,0.88,26,195,221,281,84,9,166,93,923
2015,17,MIL,Ersan Alyasova,27.0,58,36.0,1319,263,557,0.47,74,190,0.39,189,367,0.52,0.54,69,107,0.64,80,197,277,56,36,19,45,149,669
2015,17,MIL,John Henson,24.0,67,11.0,1228,196,346,0.57,0,0,,196,346,0.57,0.57,78,137,0.57,124,188,312,59,28,135,87,152,470
2015,17,MIL,Michael Carter-Williams,23.0,25,25.0,758,132,308,0.43,4,28,0.14,128,280,0.46,0.44,85,109,0.78,21,78,99,140,51,12,79,64,353
2015,17,MIL,Jabari Parker,19.0,25,25.0,738,129,263,0.49,4,16,0.25,125,247,0.51,0.5,46,66,0.7,50,88,138,42,31,5,47,42,308
2015,17,MIL,Larry Sanders,26.0,27,26.0,586,86,172,0.5,0,0,,86,172,0.5,0.5,24,48,0.5,67,99,166,23,26,39,28,104,196
2015,17,MIL,Kendall Marshall,23.0,28,3.0,417,46,101,0.46,18,46,0.39,28,55,0.51,0.55,8,9,0.89,2,26,28,86,21,0,35,26,118
2015,17,MIL,Johnny O'Bryant,21.0,34,15.0,368,44,120,0.37,0,0,,44,120,0.37,0.37,12,27,0.44,26,38,64,17,5,4,25,44,100
2015,17,MIL,Tyler Ennis,20.0,25,1.0,353,43,123,0.35,10,37,0.27,33,86,0.38,0.39,3,5,0.6,6,22,28,59,18,3,34,33,99
2015,17,MIL,Miles Plumlee,26.0,19,0.0,189,29,59,0.49,0,0,,29,59,0.49,0.49,3,8,0.38,17,29,46,7,6,11,6,12,61
2015,17,MIL,Nate Wolters,23.0,11,0.0,142,12,31,0.39,0,5,0.0,12,26,0.46,0.39,1,4,0.25,2,14,16,10,5,0,3,11,25
2015,17,MIL,Jorge GutiArrez,26.0,10,1.0,131,15,27,0.56,0,2,0.0,15,25,0.6,0.56,7,10,0.7,5,13,18,15,5,0,9,16,37
2015,17,MIL,Chris Johnson,24.0,8,0.0,128,12,30,0.4,5,18,0.28,7,12,0.58,0.48,2,2,1.0,2,9,11,5,5,2,0,7,31
2015,17,MIL,Kenyon Martin,37.0,11,0.0,104,9,22,0.41,0,0,,9,22,0.41,0.41,2,2,1.0,6,13,19,5,5,6,3,13,20
2015,17,MIL,Team Totals,,82,,19930,3083,6722,0.46,545,1500,0.36,2538,5222,0.49,0.5,1312,1734,0.76,876,2574,3450,1932,789,403,1373,1814,8023
