PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Draymond Green,25,23,23,879,6.7,15.5,0.431,2.1,5.9,0.365,4.6,9.7,0.47100000000000003,4.4,6.0,0.738,2.1,10.7,12.8,7.8,2.1,2.3,3.2,4.6,20.0,,113,101
Klay Thompson,25,24,24,849,11.7,26.4,0.444,5.7,13.5,0.424,6.0,12.9,0.46399999999999997,4.8,5.6,0.8540000000000001,0.9,4.3,5.1,3.1,1.5,0.5,2.7,3.1,33.9,,113,109
Andre Iguodala,32,24,3,767,5.0,10.6,0.47600000000000003,1.6,4.2,0.385,3.4,6.4,0.535,2.1,3.7,0.561,2.3,4.5,6.8,5.8,1.9,0.6,1.5,2.4,13.7,,122,108
Harrison Barnes,23,24,23,743,5.5,14.2,0.385,1.7,5.1,0.342,3.7,9.1,0.409,1.7,2.3,0.765,1.8,5.7,7.5,2.0,1.1,0.3,1.2,3.1,14.4,,101,109
Stephen Curry,27,18,17,614,11.9,27.2,0.43799999999999994,6.4,16.0,0.40399999999999997,5.5,11.3,0.486,6.1,6.7,0.9159999999999999,1.1,6.8,8.0,7.5,2.1,0.4,6.0,3.1,36.4,,109,106
Shaun Livingston,30,24,7,514,7.9,16.2,0.488,0.0,0.1,0.0,7.9,16.1,0.491,3.1,3.6,0.865,1.3,6.1,7.3,7.7,1.2,0.5,2.8,4.6,18.9,,111,108
Andrew Bogut,31,22,22,365,6.5,10.4,0.623,0.0,0.3,0.0,6.5,10.2,0.64,0.7,1.9,0.35700000000000004,6.4,10.6,16.9,4.1,1.9,4.7,2.6,9.8,13.7,,122,99
Leandro Barbosa,33,23,0,254,9.9,17.1,0.58,2.1,5.5,0.39299999999999996,7.8,11.7,0.667,3.1,4.1,0.762,2.1,3.1,5.3,2.9,2.1,0.2,2.1,4.7,25.1,,125,109
Festus Ezeli,26,23,1,203,9.0,16.8,0.536,0.0,0.0,,9.0,16.8,0.536,4.6,10.7,0.43200000000000005,5.6,9.3,14.9,1.9,0.2,1.7,3.4,8.3,22.7,,103,107
Marreese Speights,28,24,0,201,11.3,29.0,0.39,4.4,10.6,0.419,6.9,18.5,0.373,5.9,7.6,0.774,3.7,7.9,11.6,2.7,0.7,2.0,4.9,10.6,33.0,,97,106
Ian Clark,24,16,0,154,8.4,17.0,0.491,1.9,5.8,0.33299999999999996,6.4,11.2,0.5710000000000001,2.6,3.2,0.8,0.6,4.8,5.5,5.1,2.6,0.0,2.9,5.8,21.2,,109,107
Brandon Rush,30,14,0,110,4.0,9.0,0.45,1.8,5.4,0.33299999999999996,2.2,3.6,0.625,0.4,0.9,0.5,0.0,10.3,10.3,1.3,0.9,0.9,0.9,4.0,10.3,,105,105
Anderson Varejão,33,17,0,93,2.7,7.4,0.35700000000000004,0.0,0.0,,2.7,7.4,0.35700000000000004,5.3,10.1,0.526,6.4,4.8,11.2,6.9,1.1,1.1,1.1,9.0,10.6,,125,109
James Michael McAdoo,23,8,0,38,2.6,5.2,0.5,0.0,0.0,,2.6,5.2,0.5,1.3,5.2,0.25,0.0,10.4,10.4,2.6,3.9,2.6,1.3,7.8,6.5,,86,97
