PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Lou Williams,31,79,2589,20.2,0.574,0.387,0.36700000000000005,1.7,6.6,4.2,26.3,1.6,0.6,13.1,29.8,,5.5,1.2,6.7,0.125,,4.2,-1.8,2.3,2.8
DeAndre Jordan,29,77,2424,20.2,0.648,0.0,0.54,15.1,37.6,26.5,7.1,0.8,2.4,16.1,15.2,,6.0,3.4,9.4,0.18600000000000003,,1.7,-0.3,1.4,2.1
Austin Rivers,25,61,2057,12.6,0.526,0.447,0.198,1.5,6.2,3.9,17.5,1.7,0.6,11.1,20.6,,1.4,1.0,2.4,0.055999999999999994,,-0.3,-0.9,-1.2,0.4
Wesley Johnson,30,74,1486,9.8,0.512,0.48100000000000004,0.158,2.2,13.6,8.0,5.6,2.5,3.5,12.3,13.0,,-0.1,1.7,1.7,0.055,,-2.5,1.7,-0.7,0.5
Montrezl Harrell,24,76,1293,24.7,0.647,0.013000000000000001,0.405,8.9,17.0,13.0,10.1,1.4,3.4,9.5,23.8,,4.3,1.3,5.5,0.205,,3.1,0.2,3.3,1.7
Sindarius Thornwell,23,73,1156,8.2,0.519,0.262,0.37799999999999995,3.2,10.0,6.7,7.8,2.0,1.8,16.3,12.1,,0.1,0.9,1.0,0.040999999999999995,,-3.4,1.0,-2.4,-0.1
Blake Griffin,28,33,1139,20.4,0.5529999999999999,0.324,0.379,4.5,20.5,12.6,25.6,1.3,0.7,12.8,29.3,,2.0,1.0,3.0,0.126,,3.8,-0.4,3.4,1.6
Willie Reed,30,45,1134,11.6,0.564,0.644,0.128,1.6,10.5,6.1,26.2,1.0,0.4,20.3,18.2,,0.9,0.5,1.4,0.057999999999999996,,-0.3,-1.5,-1.7,0.1
Tobias Harris,25,32,1105,17.7,0.565,0.33,0.156,2.2,16.8,9.6,14.3,1.6,1.5,9.0,23.5,,1.6,1.0,2.6,0.11199999999999999,,2.3,-0.2,2.1,1.2
Sam Dekker,23,73,883,11.5,0.534,0.23199999999999998,0.21600000000000003,5.6,16.0,10.8,6.2,1.3,0.9,10.4,15.5,,0.6,0.6,1.2,0.066,,-2.3,-0.6,-2.9,-0.2
Tyrone Wallace,23,30,851,10.1,0.517,0.162,0.316,2.7,10.7,6.8,11.8,1.5,1.3,14.1,16.6,,0.2,0.5,0.7,0.042,,-3.1,-0.4,-3.5,-0.3
Jawun Evans,21,48,778,7.2,0.42100000000000004,0.213,0.19399999999999998,1.3,10.4,5.9,17.8,2.3,0.6,13.8,17.7,,-0.8,0.6,-0.2,-0.011000000000000001,,-5.4,0.4,-5.0,-0.6
C.J. Williams,27,38,707,9.5,0.512,0.396,0.081,1.9,6.7,4.4,8.5,2.1,1.5,8.9,13.7,,0.3,0.5,0.7,0.051,,-2.8,0.7,-2.1,0.0
Danilo Gallinari,29,21,671,13.8,0.545,0.434,0.34,1.5,14.9,8.3,8.9,0.9,1.2,8.1,20.6,,0.8,0.4,1.2,0.08800000000000001,,0.4,-0.9,-0.5,0.3
Willie Reed,27,39,419,19.4,0.669,0.017,0.45799999999999996,9.3,22.0,15.7,3.3,1.0,4.4,11.6,16.8,,1.0,0.5,1.5,0.171,,0.6,0.2,0.8,0.3
Patrick Beverley,29,11,334,12.4,0.53,0.504,0.14300000000000002,5.3,9.4,7.4,13.8,2.8,1.3,16.5,19.6,,0.1,0.3,0.4,0.055999999999999994,,-0.3,0.8,0.5,0.2
Jamil Wilson,27,15,274,11.4,0.634,0.778,0.049,1.2,11.5,6.4,5.2,0.9,2.4,8.8,14.3,,0.4,0.2,0.5,0.096,,0.0,0.2,0.2,0.2
Boban Marjanović,29,20,166,30.6,0.637,0.0,0.754,22.1,35.2,28.8,7.9,1.8,2.5,13.2,27.5,,0.7,0.3,1.0,0.293,,5.0,-0.8,4.2,0.3
Avery Bradley,27,6,165,9.0,0.49200000000000005,0.16399999999999998,0.036000000000000004,2.0,12.5,7.3,9.8,1.5,0.5,12.5,16.7,,-0.1,0.1,0.0,0.009000000000000001,,-4.1,-0.3,-4.4,-0.1
Sean Kilpatrick,28,4,38,10.5,0.503,0.389,0.111,0.0,5.7,2.9,12.1,0.0,0.0,5.0,22.6,,0.0,0.0,0.0,0.028999999999999998,,-0.8,-3.7,-4.5,0.0
Brice Johnson,23,9,38,21.3,0.6729999999999999,0.091,0.182,5.9,31.4,18.8,4.0,7.7,4.4,25.2,18.0,,0.0,0.1,0.1,0.168,,-2.2,6.8,4.5,0.1
