NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
35,Marvin Bagley,PF,6-11,235,1999-03-14,US,R,Duke
40,Harrison Barnes,SF,6-8,225,1992-05-30,US,6,UNC
88,Nemanja Bjelica,PF,6-10,234,1988-05-09,RS,3,
8,Bogdan Bogdanović,SG,6-6,220,1992-08-18,RS,1,
33,Corey Brewer,SF,6-9,186,1986-03-05,US,11,Florida
13,Alec Burks,SG,6-6,214,1991-07-20,US,7,Colorado
0,Willie Cauley-Stein,C,7-0,240,1993-08-18,US,3,Kentucky
3,Yogi Ferrell,PG,6-0,178,1993-05-09,US,2,Indiana
5,De'Aaron Fox,PG,6-3,185,1997-12-20,US,1,Kentucky
20,Harry Giles,PF,6-11,240,1998-04-22,US,R,Duke
24,Buddy Hield,SG,6-4,220,1992-12-17,BS,2,Oklahoma
25,Justin Jackson,SF,6-7,220,1995-03-28,US,1,UNC
9,B.J. Johnson,SF,6-7,200,1995-12-21,US,R,"Syracuse, La Salle"
41,Kosta Koufos,C,7-0,245,1989-02-24,US,10,Ohio State
7,Skal Labissière,PF,6-10,235,1996-03-18,HT,2,Kentucky
10,Frank Mason,PG,5-11,190,1994-04-03,US,1,Kansas
23,Ben McLemore,SG,6-3,195,1993-02-11,US,5,Kansas
9,Iman Shumpert,SG,6-5,215,1990-06-26,US,7,Georgia Tech
50,Caleb Swanigan,PF,6-9,260,1997-04-18,US,1,Purdue
19,Troy Williams,SF,6-7,218,1994-12-30,US,2,Indiana
