PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
James Harden,29.0,78,78.0,2867,843,1909,0.442,378,1028,0.368,465,881,0.528,0.541,754,858,0.879,66,452,518,586,158,58,387,244,2818
P.J. Tucker,33.0,82,82.0,2802,207,523,0.396,146,387,0.377,61,136,0.449,0.535,41,59,0.695,121,358,479,96,132,39,63,252,601
Clint Capela,24.0,67,67.0,2249,474,732,0.648,0,0,,474,732,0.648,0.648,166,261,0.636,298,550,848,96,44,102,94,168,1114
Eric Gordon,30.0,68,53.0,2158,384,938,0.409,216,600,0.36,168,338,0.49700000000000005,0.525,119,152,0.7829999999999999,17,131,148,129,41,27,90,143,1103
Chris Paul,33.0,58,58.0,1857,302,720,0.419,127,355,0.358,175,365,0.479,0.508,175,203,0.862,36,229,265,473,114,18,152,146,906
Gerald Green,33.0,73,0.0,1473,231,578,0.4,156,441,0.354,75,137,0.547,0.535,57,68,0.838,30,152,182,40,33,27,55,126,675
Austin Rivers,26.0,47,13.0,1345,156,378,0.413,71,221,0.321,85,157,0.541,0.507,25,49,0.51,15,76,91,109,29,13,32,135,408
Danuel House,25.0,39,13.0,979,118,252,0.46799999999999997,74,178,0.41600000000000004,44,74,0.595,0.615,56,71,0.789,25,115,140,40,21,11,35,80,366
James Ennis,28.0,40,25.0,949,104,211,0.493,44,120,0.36700000000000005,60,91,0.659,0.597,42,58,0.7240000000000001,37,80,117,27,38,16,23,111,294
Gary Clark,24.0,51,2.0,641,50,151,0.331,41,138,0.297,9,13,0.6920000000000001,0.467,7,7,1.0,24,92,116,18,20,26,7,47,148
Kenneth Faried,29.0,25,13.0,610,131,223,0.5870000000000001,7,20,0.35,124,203,0.611,0.603,54,83,0.6509999999999999,82,124,206,18,15,19,27,74,323
Nenê Hilário,36.0,42,2.0,546,60,116,0.517,0,3,0.0,60,113,0.531,0.517,31,47,0.66,34,89,123,26,18,15,11,87,151
Iman Shumpert,28.0,20,1.0,382,34,98,0.34700000000000003,21,71,0.29600000000000004,13,27,0.48100000000000004,0.45399999999999996,2,4,0.5,8,46,54,21,12,4,12,35,91
Carmelo Anthony,34.0,10,2.0,294,49,121,0.405,21,64,0.32799999999999996,28,57,0.491,0.49200000000000005,15,22,0.682,9,45,54,5,4,7,8,32,134
Isaiah Hartenstein,20.0,28,0.0,221,20,41,0.488,2,6,0.33299999999999996,18,35,0.514,0.512,11,14,0.7859999999999999,21,26,47,15,7,12,13,56,53
Michael Carter-Williams,27.0,16,1.0,145,25,61,0.41,7,19,0.368,18,42,0.429,0.467,12,26,0.462,3,10,13,21,9,6,10,27,69
Brandon Knight,27.0,12,0.0,118,11,47,0.23399999999999999,5,32,0.156,6,15,0.4,0.287,9,11,0.818,1,8,9,9,2,0,5,14,36
Marquese Chriss,21.0,16,0.0,104,11,34,0.324,1,15,0.067,10,19,0.526,0.33799999999999997,6,7,0.857,7,21,28,6,2,4,12,17,29
James Nunnally,28.0,2,0.0,38,3,13,0.231,3,12,0.25,0,1,0.0,0.34600000000000003,0,0,,0,1,1,2,0,0,0,6,9
Chris Chiozza,23.0,7,0.0,33,2,8,0.25,2,5,0.4,0,3,0.0,0.375,0,0,,1,3,4,4,1,1,1,2,6
Vince Edwards,22.0,2,0.0,16,1,4,0.25,1,4,0.25,0,0,,0.375,0,0,,1,1,2,0,0,0,0,0,3
Terrence Jones,27.0,2,0.0,5,1,4,0.25,0,2,0.0,1,2,0.5,0.25,0,1,0.0,0,4,4,0,0,0,1,1,2
Zhou Qi,23.0,1,0.0,1,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,0,0,0,0,0,0,0,0,2
Team Totals,,82,,19830,3218,7163,0.449,1323,3721,0.35600000000000004,1895,3442,0.551,0.542,1582,2001,0.7909999999999999,836,2613,3449,1741,700,405,1094,1803,9341
