PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Donovan Mitchell,23,69,69,2364,9.2,20.4,0.449,2.6,7.2,0.366,6.5,13.2,0.494,4.2,4.9,0.863,0.8,3.8,4.6,4.5,1.1,0.2,2.8,2.6,25.2
Rudy Gobert,27,68,68,2333,6.0,8.6,0.693,0.0,0.0,,6.0,8.6,0.693,3.9,6.2,0.63,3.5,10.6,14.1,1.6,0.8,2.1,2.0,3.3,15.8
Joe Ingles,32,72,45,2137,4.1,9.3,0.445,2.4,5.9,0.39899999999999997,1.8,3.4,0.525,1.2,1.6,0.787,0.5,4.2,4.7,6.3,1.1,0.2,2.4,2.6,11.9
Bojan Bogdanović,30,63,63,2083,7.2,16.2,0.447,3.3,7.9,0.414,4.0,8.3,0.479,4.3,4.8,0.903,0.7,3.8,4.5,2.3,0.6,0.1,2.7,1.9,22.0
Royce O'Neale,26,71,62,2049,2.8,6.4,0.433,1.6,4.3,0.377,1.2,2.1,0.545,0.7,1.0,0.764,0.5,6.4,6.8,3.2,1.0,0.6,1.1,3.5,7.9
Mike Conley,32,47,41,1363,6.1,15.0,0.409,2.5,6.8,0.375,3.6,8.2,0.43700000000000006,3.0,3.7,0.8270000000000001,0.9,3.1,4.0,5.5,1.0,0.1,2.4,2.7,17.8
Jordan Clarkson,27,42,2,1039,8.7,18.7,0.462,3.2,8.8,0.366,5.4,9.9,0.547,2.1,2.7,0.785,1.0,3.1,4.1,2.3,1.0,0.3,2.0,2.6,22.7
Georges Niang,26,66,1,923,5.5,12.6,0.43799999999999994,3.5,8.8,0.4,2.0,3.8,0.526,0.8,0.9,0.833,0.6,4.4,5.0,1.7,0.7,0.2,1.2,2.9,15.3
Emmanuel Mudiay,23,54,2,850,6.4,13.8,0.462,1.3,3.7,0.345,5.1,10.2,0.504,2.7,3.5,0.759,0.8,4.6,5.3,4.9,1.0,0.4,3.2,3.0,16.7
Tony Bradley,22,58,3,663,6.8,10.3,0.667,0.2,0.2,1.0,6.7,10.1,0.6609999999999999,1.6,2.5,0.652,6.0,8.5,14.5,1.2,0.8,1.8,1.6,6.2,15.5
Jeff Green,33,30,2,553,4.9,12.7,0.385,2.2,6.8,0.327,2.7,5.9,0.451,3.2,4.1,0.778,0.9,4.4,5.3,1.3,0.8,0.7,1.8,3.0,15.2
Ed Davis,30,28,1,303,2.6,5.5,0.478,0.0,0.0,,2.6,5.5,0.478,0.8,1.7,0.5,4.2,8.3,12.5,1.4,1.3,1.1,1.5,7.2,6.1
Rayjon Tucker,22,20,0,161,4.5,9.6,0.465,0.7,3.8,0.17600000000000002,3.8,5.8,0.654,4.2,5.1,0.826,0.7,3.8,4.5,1.1,0.2,0.2,1.8,2.2,13.9
Juwan Morgan,22,21,0,134,4.0,7.0,0.5770000000000001,0.8,2.1,0.375,3.2,4.8,0.667,0.8,1.1,0.75,2.7,5.1,7.8,1.6,0.3,0.5,1.6,5.1,9.7
Miye Oni,22,10,1,109,4.0,10.6,0.375,2.3,6.3,0.368,1.7,4.3,0.385,1.3,1.7,0.8,1.7,4.0,5.6,1.3,1.3,0.7,1.3,3.0,11.6
Jarrell Brantley,23,9,0,96,3.7,10.5,0.35700000000000004,1.1,4.9,0.231,2.6,5.6,0.467,0.4,0.7,0.5,0.7,6.8,7.5,4.1,1.1,1.9,2.6,2.6,9.0
Dante Exum,24,11,0,83,4.3,10.0,0.435,0.9,2.6,0.33299999999999996,3.5,7.4,0.47100000000000003,0.9,0.9,1.0,1.3,3.9,5.2,3.0,0.4,0.9,4.3,3.5,10.4
Nigel Williams-Goss,25,10,0,50,3.6,11.5,0.313,1.4,5.0,0.28600000000000003,2.2,6.5,0.33299999999999996,1.4,1.4,1.0,1.4,2.9,4.3,4.3,2.2,0.7,2.2,4.3,10.1
Justin Wright-Foreman,22,4,0,45,5.6,16.0,0.35,1.6,8.0,0.2,4.0,8.0,0.5,2.4,3.2,0.75,0.0,4.0,4.0,5.6,1.6,0.0,2.4,4.0,15.2
Stanton Kidd,27,4,0,15,0.0,7.2,0.0,0.0,2.4,0.0,0.0,4.8,0.0,0.0,0.0,,0.0,7.2,7.2,2.4,0.0,0.0,4.8,7.2,0.0
