PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Dillon Brooks,24,73,73,2112,9.6,23.6,0.40700000000000003,3.2,9.1,0.358,6.4,14.5,0.43799999999999994,3.6,4.5,0.8079999999999999,1.5,3.9,5.4,3.3,1.4,0.6,2.7,6.1,26.1,,100,113
Ja Morant,20,67,67,2074,10.1,21.1,0.47700000000000004,1.4,4.0,0.335,8.7,17.1,0.511,5.4,6.9,0.7759999999999999,1.1,4.7,5.8,11.0,1.3,0.4,5.0,2.5,26.9,,109,113
Jonas Valančiūnas,27,70,70,1845,10.9,18.7,0.585,0.8,2.3,0.35200000000000004,10.1,16.4,0.617,3.7,5.1,0.74,5.4,14.6,19.9,3.3,0.8,1.9,3.2,4.7,26.4,,120,107
Jaren Jackson,20,57,57,1622,10.2,21.7,0.469,4.2,10.6,0.39399999999999996,6.0,11.1,0.54,4.0,5.4,0.747,1.6,6.0,7.5,2.2,1.2,2.6,2.8,6.7,28.5,,110,110
Kyle Anderson,26,67,28,1330,5.5,11.6,0.474,0.8,3.0,0.282,4.7,8.6,0.541,1.8,2.7,0.667,2.0,8.0,10.0,5.7,1.9,1.3,2.3,3.9,13.7,,109,109
Jae Crowder,29,45,45,1322,5.2,14.1,0.368,2.8,9.4,0.293,2.4,4.7,0.519,2.6,3.4,0.789,1.4,8.4,9.8,4.4,1.7,0.5,1.9,3.0,15.8,,106,110
Brandon Clarke,23,58,4,1300,10.6,17.2,0.618,0.8,2.3,0.359,9.8,14.9,0.6579999999999999,3.1,4.0,0.759,3.3,9.1,12.4,2.9,1.1,1.7,2.0,3.6,25.1,,127,109
Tyus Jones,23,65,6,1232,7.5,16.3,0.45899999999999996,1.8,4.7,0.379,5.7,11.6,0.49200000000000005,1.6,2.2,0.741,0.3,3.6,3.9,10.8,2.2,0.2,2.1,1.7,18.3,,116,112
De'Anthony Melton,21,60,8,1167,6.4,16.0,0.401,1.6,5.6,0.28600000000000003,4.8,10.4,0.46399999999999997,3.7,4.8,0.769,1.7,7.1,8.8,7.0,3.1,0.8,3.4,4.4,18.2,,102,107
Solomon Hill,28,48,3,901,5.0,12.1,0.41200000000000003,2.9,7.6,0.381,2.1,4.5,0.465,1.3,2.0,0.684,1.2,6.2,7.5,4.9,1.6,0.4,2.1,3.8,14.2,,109,112
Grayson Allen,24,38,0,718,7.6,16.3,0.466,3.7,9.2,0.40399999999999997,3.9,7.2,0.545,2.5,2.9,0.867,0.5,5.0,5.5,3.4,0.7,0.1,2.1,3.4,21.5,,114,115
Marko Guduric,24,44,0,484,6.0,15.1,0.395,2.4,8.0,0.301,3.6,7.1,0.5,2.3,2.5,0.9229999999999999,1.4,5.7,7.0,4.3,1.2,0.8,3.5,3.3,16.7,,97,112
Josh Jackson,22,22,0,381,8.6,19.5,0.44,2.8,8.8,0.319,5.8,10.7,0.54,4.3,6.1,0.7,1.3,6.7,8.1,4.3,2.2,1.1,3.4,4.9,24.3,,103,109
Gorgui Dieng,30,17,0,318,6.2,12.8,0.483,1.2,4.7,0.25,5.0,8.1,0.618,4.6,6.2,0.738,2.6,11.7,14.4,2.2,2.1,2.5,2.3,5.1,18.1,,112,105
Anthony Tolliver,34,13,4,236,3.8,9.5,0.396,3.4,8.1,0.415,0.4,1.4,0.28600000000000003,1.4,1.6,0.875,1.0,5.5,6.5,2.0,1.4,0.2,1.8,2.8,12.3,,110,113
Bruno Caboclo,24,22,0,192,6.8,16.8,0.406,1.0,6.1,0.16,5.8,10.7,0.545,0.5,0.7,0.667,4.1,6.6,10.7,2.4,2.4,2.9,1.7,5.6,15.1,,97,106
John Konchar,23,19,0,181,6.2,9.5,0.649,1.3,2.6,0.5,4.9,7.0,0.7040000000000001,0.3,0.5,0.5,4.6,7.5,12.1,5.7,1.8,0.8,1.8,1.8,13.9,,140,110
Yuta Watanabe,25,18,0,105,6.7,15.1,0.441,1.3,3.6,0.375,5.3,11.6,0.462,1.3,3.6,0.375,3.1,5.8,8.9,2.2,2.2,0.4,0.9,4.0,16.0,,105,110
Jordan Bell,25,2,0,21,6.7,15.6,0.429,4.4,6.7,0.667,2.2,8.9,0.25,4.4,4.4,1.0,4.4,2.2,6.7,4.4,2.2,0.0,6.7,4.4,22.2,,103,113
Jarrod Uthoff,26,4,0,14,3.3,23.3,0.14300000000000002,0.0,13.3,0.0,3.3,10.0,0.33299999999999996,6.7,6.7,1.0,3.3,0.0,3.3,0.0,3.3,0.0,0.0,3.3,13.3,,67,112
Dusty Hannahs,26,2,0,13,14.4,32.3,0.444,7.2,10.8,0.667,7.2,21.5,0.33299999999999996,7.2,7.2,1.0,0.0,3.6,3.6,0.0,0.0,0.0,0.0,3.6,43.1,,120,117
