PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Dorian Finney-Smith,26.0,71,68.0,2120,243,522,0.466,114,303,0.376,129,219,0.589,0.575,78,108,0.722,145,260,405,114,45,39,69,178,678
Tim Hardaway,27.0,71,58.0,2091,384,884,0.434,204,513,0.39799999999999996,180,371,0.485,0.55,149,182,0.8190000000000001,25,207,232,137,41,5,69,125,1121
Luka Dončić,20.0,61,61.0,2047,581,1255,0.46299999999999997,171,541,0.316,410,714,0.574,0.531,426,562,0.758,78,495,573,538,62,14,260,153,1759
Maxi Kleber,28.0,74,21.0,1890,237,514,0.461,119,319,0.373,118,195,0.605,0.5770000000000001,79,93,0.8490000000000001,112,276,388,88,25,83,58,176,672
Kristaps Porziņģis,24.0,57,57.0,1814,398,932,0.42700000000000005,142,403,0.35200000000000004,256,529,0.484,0.503,226,283,0.799,100,440,540,102,41,115,92,185,1164
Seth Curry,29.0,64,25.0,1576,284,574,0.495,145,321,0.452,139,253,0.5489999999999999,0.621,80,97,0.825,27,118,145,124,38,9,62,113,793
Delon Wright,27.0,73,5.0,1570,190,411,0.462,47,127,0.37,143,284,0.504,0.519,77,100,0.77,70,210,280,244,85,22,73,93,504
Dwight Powell,28.0,40,37.0,1061,146,229,0.638,10,39,0.256,136,190,0.716,0.659,74,111,0.667,75,152,227,59,34,22,36,102,376
Justin Jackson,24.0,65,3.0,1045,135,341,0.396,48,163,0.294,87,178,0.489,0.466,42,50,0.84,27,127,154,52,15,10,14,69,360
Jalen Brunson,23.0,57,16.0,1022,181,388,0.466,43,120,0.358,138,268,0.515,0.522,61,75,0.813,22,112,134,188,22,4,66,74,466
J.J. Barea,35.0,29,6.0,450,85,207,0.41100000000000003,32,85,0.376,53,122,0.434,0.488,20,22,0.909,10,43,53,112,5,2,38,27,222
Boban Marjanović,31.0,44,5.0,422,121,211,0.573,4,17,0.235,117,194,0.603,0.583,43,57,0.754,66,131,197,20,8,10,30,56,289
Courtney Lee,34.0,24,9.0,345,40,82,0.488,21,47,0.447,19,35,0.5429999999999999,0.616,6,7,0.857,7,25,32,12,18,6,11,33,107
Trey Burke,27.0,8,1.0,191,35,82,0.42700000000000005,16,37,0.43200000000000005,19,45,0.42200000000000004,0.524,10,11,0.909,1,14,15,30,9,1,9,12,96
Ryan Broekhoff,29.0,17,1.0,180,22,59,0.373,20,51,0.392,2,8,0.25,0.542,7,8,0.875,5,38,43,11,5,4,6,15,71
Willie Cauley-Stein,26.0,13,2.0,157,31,45,0.6890000000000001,0,1,0.0,31,44,0.705,0.6890000000000001,5,9,0.556,13,47,60,10,4,11,5,19,67
Michael Kidd-Gilchrist,26.0,13,0.0,121,4,13,0.308,0,3,0.0,4,10,0.4,0.308,4,5,0.8,5,27,32,4,2,3,9,19,12
Antonius Cleveland,25.0,11,0.0,46,4,14,0.28600000000000003,0,3,0.0,4,11,0.364,0.28600000000000003,3,5,0.6,2,5,7,1,1,3,2,8,11
Josh Reaves,22.0,4,0.0,28,3,9,0.33299999999999996,0,2,0.0,3,7,0.429,0.33299999999999996,2,2,1.0,1,2,3,3,0,0,0,5,8
Team Totals,,75,,18175,3124,6772,0.461,1136,3095,0.36700000000000005,1988,3677,0.541,0.545,1392,1787,0.779,791,2729,3520,1849,460,363,953,1462,8776
