Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999,12,1197,IND,Indiana Pacers,Al Harrington,"February 17, 1980",18.0,NBA,PF,21.0,0.0,160.0,18.0,56.0,0.32,0.0,5.0,0.0,18.0,51.0,0.35,0.32,9.0,15.0,0.6,20.0,19.0,39.0,5.0,4.0,2.0,11.0,26.0,45.0
2000,12,1197,IND,Indiana Pacers,Al Harrington,"February 17, 1980",19.0,NBA,PF,50.0,0.0,854.0,121.0,264.0,0.46,8.0,34.0,0.24,113.0,230.0,0.49,0.47,78.0,111.0,0.7,47.0,112.0,159.0,38.0,25.0,9.0,65.0,130.0,328.0
2001,12,1197,IND,Indiana Pacers,Al Harrington,"February 17, 1980",20.0,NBA,PF,78.0,38.0,1892.0,241.0,543.0,0.44,1.0,7.0,0.14,240.0,536.0,0.45,0.44,103.0,157.0,0.66,119.0,262.0,381.0,130.0,63.0,18.0,148.0,223.0,586.0
2002,12,1197,IND,Indiana Pacers,Al Harrington,"February 17, 1980",21.0,NBA,PF,44.0,1.0,1313.0,230.0,484.0,0.48,1.0,3.0,0.33,229.0,481.0,0.48,0.48,115.0,144.0,0.8,96.0,180.0,276.0,54.0,41.0,21.0,78.0,166.0,576.0
2003,12,1197,IND,Indiana Pacers,Al Harrington,"February 17, 1980",22.0,NBA,SF,82.0,37.0,2467.0,389.0,896.0,0.43,13.0,46.0,0.28,376.0,850.0,0.44,0.44,211.0,274.0,0.77,159.0,352.0,511.0,125.0,71.0,33.0,163.0,280.0,1002.0
2004,12,1197,IND,Indiana Pacers,Al Harrington,"February 17, 1980",23.0,NBA,PF,79.0,15.0,2441.0,421.0,909.0,0.46,21.0,77.0,0.27,400.0,832.0,0.48,0.48,185.0,252.0,0.73,163.0,345.0,508.0,131.0,80.0,22.0,163.0,250.0,1048.0
2005,1,1197,ATL,Atlanta Hawks,Al Harrington,"February 17, 1980",24.0,NBA,SF,66.0,66.0,2550.0,453.0,986.0,0.46,16.0,74.0,0.22,437.0,912.0,0.48,0.47,236.0,351.0,0.67,145.0,316.0,461.0,208.0,85.0,16.0,204.0,249.0,1158.0
2006,1,1197,ATL,Atlanta Hawks,Al Harrington,"February 17, 1980",25.0,NBA,PF,76.0,76.0,2782.0,551.0,1220.0,0.45,66.0,191.0,0.35,485.0,1029.0,0.47,0.48,243.0,350.0,0.69,132.0,391.0,523.0,238.0,85.0,14.0,195.0,301.0,1411.0
2007,31,1197,TOT,Total After Trade,Al Harrington,"February 17, 1980",26.0,NBA,PF,78.0,78.0,2563.0,495.0,1083.0,0.46,127.0,293.0,0.43,368.0,790.0,0.47,0.52,168.0,242.0,0.69,151.0,345.0,496.0,149.0,65.0,24.0,169.0,269.0,1285.0
2007,12,1197,IND,Indiana Pacers,Al Harrington,"February 17, 1980",26.0,NBA,PF,36.0,36.0,1208.0,223.0,487.0,0.46,54.0,118.0,0.46,169.0,369.0,0.46,0.51,72.0,101.0,0.71,71.0,155.0,226.0,51.0,25.0,10.0,91.0,116.0,572.0
2007,10,1197,GSW,Golden State Warriors,Al Harrington,"February 17, 1980",26.0,NBA,PF,42.0,42.0,1355.0,272.0,596.0,0.46,73.0,175.0,0.42,199.0,421.0,0.47,0.52,96.0,141.0,0.68,80.0,190.0,270.0,98.0,40.0,14.0,78.0,153.0,713.0
2008,10,1197,GSW,Golden State Warriors,Al Harrington,"February 17, 1980",27.0,NBA,C,81.0,59.0,2190.0,401.0,923.0,0.43,153.0,408.0,0.38,248.0,515.0,0.48,0.52,147.0,190.0,0.77,107.0,332.0,439.0,132.0,74.0,16.0,90.0,266.0,1102.0
2009,31,1197,TOT,Total After Trade,Al Harrington,"February 17, 1980",28.0,NBA,PF,73.0,56.0,2546.0,532.0,1212.0,0.44,171.0,470.0,0.36,361.0,742.0,0.49,0.51,234.0,295.0,0.79,99.0,356.0,455.0,102.0,88.0,22.0,161.0,227.0,1469.0
2009,10,1197,GSW,Golden State Warriors,Al Harrington,"February 17, 1980",28.0,NBA,PF,5.0,5.0,166.0,23.0,70.0,0.33,11.0,28.0,0.39,12.0,42.0,0.29,0.41,5.0,10.0,0.5,10.0,18.0,28.0,10.0,7.0,0.0,7.0,14.0,62.0
2009,20,1197,NYK,New York Knicks,Al Harrington,"February 17, 1980",28.0,NBA,PF,68.0,51.0,2380.0,509.0,1142.0,0.45,160.0,442.0,0.36,349.0,700.0,0.5,0.52,229.0,285.0,0.8,89.0,338.0,427.0,92.0,81.0,22.0,154.0,213.0,1407.0
2010,20,1197,NYK,New York Knicks,Al Harrington,"February 17, 1980",29.0,NBA,PF,72.0,15.0,2195.0,448.0,1030.0,0.44,140.0,409.0,0.34,308.0,621.0,0.5,0.5,240.0,317.0,0.76,88.0,317.0,405.0,110.0,62.0,26.0,132.0,209.0,1276.0
2011,8,1197,DEN,Denver Nuggets,Al Harrington,"February 17, 1980",30.0,NBA,PF,73.0,3.0,1665.0,281.0,675.0,0.42,117.0,328.0,0.36,164.0,347.0,0.47,0.5,86.0,117.0,0.74,76.0,256.0,332.0,101.0,39.0,10.0,106.0,202.0,765.0
2012,8,1197,DEN,Denver Nuggets,Al Harrington,"February 17, 1980",31.0,NBA,PF,64.0,1.0,1761.0,345.0,773.0,0.45,101.0,303.0,0.33,244.0,470.0,0.52,0.51,119.0,176.0,0.68,72.0,318.0,390.0,88.0,58.0,12.0,112.0,181.0,910.0
2013,22,1197,ORL,Orlando Magic,Al Harrington,"February 17, 1980",32.0,NBA,C,10.0,0.0,119.0,20.0,57.0,0.35,8.0,30.0,0.27,12.0,27.0,0.44,0.42,3.0,4.0,0.75,6.0,21.0,27.0,10.0,4.0,1.0,7.0,18.0,51.0
2014,30,1197,WAS,Washington Wizards,Al Harrington,"February 17, 1980",33.0,NBA,PF,34.0,0.0,511.0,82.0,207.0,0.4,34.0,100.0,0.34,48.0,107.0,0.45,0.48,27.0,35.0,0.77,15.0,65.0,80.0,28.0,14.0,0.0,34.0,72.0,225.0
