Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
1992,10,2229,GSW,Golden State Warriors,Billy Owens,1969-05-01,22.0,NBA,PF,80.0,77.0,2510.0,468.0,891.0,0.52,1.0,9.0,0.11,467.0,882.0,0.53,0.53,204.0,312.0,0.65,243.0,396.0,639.0,188.0,90.0,65.0,179.0,276.0,1141.0,0.0
1993,10,2229,GSW,Golden State Warriors,Billy Owens,1969-05-01,23.0,NBA,PF,37.0,37.0,1201.0,247.0,493.0,0.5,1.0,11.0,0.09,246.0,482.0,0.51,0.5,117.0,183.0,0.64,108.0,156.0,264.0,144.0,35.0,28.0,106.0,105.0,612.0,0.0
1994,10,2229,GSW,Golden State Warriors,Billy Owens,1969-05-01,24.0,NBA,PF,79.0,72.0,2738.0,492.0,971.0,0.51,3.0,15.0,0.2,489.0,956.0,0.51,0.51,199.0,326.0,0.61,230.0,410.0,640.0,326.0,83.0,60.0,214.0,269.0,1186.0,0.0
1995,16,2229,MIA,Miami Heat,Billy Owens,1969-05-01,25.0,NBA,SG,70.0,60.0,2296.0,403.0,820.0,0.49,2.0,22.0,0.09,401.0,798.0,0.5,0.49,194.0,313.0,0.62,203.0,299.0,502.0,246.0,80.0,30.0,204.0,205.0,1002.0,1.0
1996,31,2229,TOT,Total After Trade,Billy Owens,1969-05-01,26.0,NBA,SF,62.0,51.0,1982.0,323.0,673.0,0.48,5.0,18.0,0.28,318.0,655.0,0.48,0.48,157.0,247.0,0.64,143.0,268.0,411.0,204.0,49.0,38.0,164.0,192.0,808.0,0.0
1996,16,2229,MIA,Miami Heat,Billy Owens,1969-05-01,26.0,NBA,SF,40.0,40.0,1388.0,239.0,473.0,0.5,0.0,6.0,0.0,239.0,467.0,0.51,0.5,112.0,177.0,0.63,94.0,192.0,286.0,134.0,30.0,22.0,113.0,132.0,590.0,0.0
1996,26,2229,SAC,Sacramento Kings,Billy Owens,1969-05-01,26.0,NBA,SF,22.0,11.0,594.0,84.0,200.0,0.42,5.0,12.0,0.42,79.0,188.0,0.42,0.43,45.0,70.0,0.64,49.0,76.0,125.0,70.0,19.0,16.0,51.0,60.0,218.0,0.0
1997,26,2229,SAC,Sacramento Kings,Billy Owens,1969-05-01,27.0,NBA,SF,66.0,56.0,1995.0,299.0,640.0,0.47,25.0,72.0,0.35,274.0,568.0,0.48,0.49,101.0,145.0,0.7,134.0,258.0,392.0,187.0,62.0,25.0,133.0,187.0,724.0,0.0
1998,26,2229,SAC,Sacramento Kings,Billy Owens,1969-05-01,28.0,NBA,SF,78.0,78.0,2348.0,338.0,728.0,0.46,26.0,70.0,0.37,312.0,658.0,0.47,0.48,116.0,197.0,0.59,170.0,412.0,582.0,219.0,93.0,38.0,153.0,231.0,818.0,0.0
1999,21,2229,SEA,Seattle Supersonics,Billy Owens,1969-05-01,29.0,NBA,SF,21.0,19.0,451.0,65.0,165.0,0.39,5.0,11.0,0.46,60.0,154.0,0.39,0.41,28.0,35.0,0.8,35.0,45.0,80.0,38.0,12.0,4.0,33.0,37.0,163.0,0.0
2000,31,2229,TOT,Total After Trade,Billy Owens,1969-05-01,30.0,NBA,"PF,SF",62.0,11.0,1305.0,150.0,358.0,0.42,11.0,34.0,0.32,139.0,324.0,0.43,0.43,63.0,106.0,0.59,99.0,202.0,301.0,97.0,33.0,21.0,85.0,166.0,374.0,0.0
2000,23,2229,PHI,Philadelphia 76Ers,Billy Owens,1969-05-01,30.0,NBA,PF,46.0,7.0,919.0,112.0,258.0,0.43,9.0,27.0,0.33,103.0,231.0,0.45,0.45,38.0,64.0,0.59,63.0,129.0,192.0,59.0,26.0,16.0,61.0,119.0,271.0,0.0
2000,10,2229,GSW,Golden State Warriors,Billy Owens,1969-05-01,30.0,NBA,SF,16.0,4.0,386.0,38.0,100.0,0.38,2.0,7.0,0.29,36.0,93.0,0.39,0.39,25.0,42.0,0.6,36.0,73.0,109.0,38.0,7.0,5.0,24.0,47.0,103.0,0.0
2001,9,2229,DET,Detroit Pistons,Billy Owens,1969-05-01,31.0,NBA,PF,45.0,14.0,793.0,88.0,230.0,0.38,3.0,20.0,0.15,85.0,210.0,0.4,0.39,19.0,40.0,0.48,84.0,121.0,205.0,55.0,32.0,12.0,39.0,93.0,198.0,0.0
