Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1984,14,2588,LAL,Los Angeles Lakers,Byron Scott,1961-03-28,22.0,NBA,SG,20.0,,404.0,6.6,14.3,0.46,0.2,0.9,0.2,6.4,13.5,0.48,1.9,3.1,0.6,1.0,2.3,3.3,3.0,1.6,0.2,2.3,3.5,15.2
1985,14,2588,LAL,Los Angeles Lakers,Byron Scott,1961-03-28,23.0,NBA,SG,19.0,19.0,585.0,8.5,16.4,0.52,0.6,1.3,0.48,7.9,15.1,0.52,2.2,2.7,0.8,1.0,2.2,3.2,3.1,2.5,0.2,1.5,2.9,19.8
1986,14,2588,LAL,Los Angeles Lakers,Byron Scott,1961-03-28,24.0,NBA,SG,14.0,14.0,470.0,6.9,13.9,0.5,0.5,1.3,0.35,6.4,12.6,0.51,2.9,3.2,0.9,1.1,3.1,4.2,3.2,1.5,0.2,2.3,2.9,17.2
1987,14,2588,LAL,Los Angeles Lakers,Byron Scott,1961-03-28,25.0,NBA,SG,18.0,18.0,608.0,6.1,12.4,0.49,0.4,2.0,0.21,5.7,10.4,0.55,3.1,4.0,0.79,1.2,2.5,3.7,3.4,1.1,0.2,1.5,3.1,15.8
1988,14,2588,LAL,Los Angeles Lakers,Byron Scott,1961-03-28,26.0,NBA,SG,24.0,24.0,897.0,7.1,14.3,0.5,1.0,2.2,0.44,6.2,12.1,0.51,3.6,4.2,0.86,1.0,3.0,4.0,2.4,1.4,0.2,1.9,2.6,18.9
1989,14,2588,LAL,Los Angeles Lakers,Byron Scott,1961-03-28,27.0,NBA,SG,11.0,11.0,402.0,7.1,14.3,0.49,1.3,3.5,0.38,5.7,10.8,0.53,4.1,4.9,0.84,0.9,3.1,4.0,2.2,1.6,0.2,1.8,2.8,19.6
1990,14,2588,LAL,Los Angeles Lakers,Byron Scott,1961-03-28,28.0,NBA,SG,9.0,9.0,325.0,5.4,11.7,0.46,1.4,3.8,0.38,4.0,8.0,0.5,1.1,1.4,0.77,0.8,3.3,4.1,2.5,2.2,0.3,1.4,3.5,13.4
1991,14,2588,LAL,Los Angeles Lakers,Byron Scott,1961-03-28,29.0,NBA,SG,18.0,18.0,678.0,5.0,9.9,0.51,1.1,2.0,0.53,4.0,7.9,0.51,1.4,1.8,0.79,0.7,2.3,3.0,1.5,1.2,0.2,0.9,2.8,12.6
1992,14,2588,LAL,Los Angeles Lakers,Byron Scott,1961-03-28,30.0,NBA,SG,4.0,4.0,148.0,5.4,10.7,0.5,1.7,2.9,0.58,3.6,7.8,0.47,5.8,6.6,0.89,0.7,1.7,2.4,3.4,1.5,0.2,1.2,2.4,18.2
1993,14,2588,LAL,Los Angeles Lakers,Byron Scott,1961-03-28,31.0,NBA,SG,5.0,5.0,177.0,4.3,8.5,0.5,1.6,3.1,0.53,2.6,5.5,0.48,3.7,4.7,0.78,0.0,2.2,2.2,1.8,1.0,0.0,0.8,2.2,13.8
1994,12,2588,IND,Indiana Pacers,Byron Scott,1961-03-28,32.0,NBA,SG,16.0,0.0,239.0,5.7,14.5,0.4,1.4,2.9,0.47,4.4,11.6,0.38,6.0,7.7,0.78,1.5,3.5,5.0,3.0,1.8,0.3,3.8,3.3,18.8
1995,12,2588,IND,Indiana Pacers,Byron Scott,1961-03-28,33.0,NBA,PG,17.0,0.0,298.0,3.9,11.4,0.34,1.1,4.1,0.26,2.8,7.2,0.38,3.6,4.1,0.88,0.6,2.4,3.0,1.9,1.2,0.1,2.7,3.6,12.4
1997,14,2588,LAL,Los Angeles Lakers,Byron Scott,1961-03-28,35.0,NBA,SG,8.0,0.0,134.0,4.0,8.9,0.46,1.1,3.0,0.36,3.0,5.9,0.5,4.6,5.1,0.9,0.0,3.2,3.2,3.0,0.3,0.0,2.1,4.0,13.7
