Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006,28,2973,TOR,Toronto Raptors,Charlie Villanueva,"August 24, 1984",21.0,NBA,PF,81.0,36.0,2361.0,435.0,940.0,0.46,70.0,214.0,0.33,365.0,726.0,0.5,0.5,113.0,160.0,0.71,181.0,340.0,521.0,88.0,60.0,63.0,99.0,247.0,1053.0
2007,17,2973,MIL,Milwaukee Bucks,Charlie Villanueva,"August 24, 1984",22.0,NBA,PF,39.0,17.0,984.0,180.0,383.0,0.47,29.0,86.0,0.34,151.0,297.0,0.51,0.51,73.0,89.0,0.82,62.0,166.0,228.0,36.0,24.0,12.0,54.0,108.0,462.0
2008,17,2973,MIL,Milwaukee Bucks,Charlie Villanueva,"August 24, 1984",23.0,NBA,PF,76.0,31.0,1829.0,354.0,814.0,0.44,55.0,185.0,0.3,299.0,629.0,0.48,0.47,123.0,157.0,0.78,145.0,321.0,466.0,78.0,30.0,35.0,107.0,174.0,886.0
2009,17,2973,MIL,Milwaukee Bucks,Charlie Villanueva,"August 24, 1984",24.0,NBA,PF,78.0,47.0,2095.0,487.0,1089.0,0.45,89.0,258.0,0.34,398.0,831.0,0.48,0.49,201.0,240.0,0.84,154.0,366.0,520.0,137.0,50.0,56.0,138.0,254.0,1264.0
2010,9,2973,DET,Detroit Pistons,Charlie Villanueva,"August 24, 1984",25.0,NBA,PF,78.0,16.0,1848.0,363.0,827.0,0.44,99.0,282.0,0.35,264.0,545.0,0.48,0.5,106.0,130.0,0.82,85.0,280.0,365.0,53.0,48.0,55.0,74.0,223.0,931.0
2011,9,2973,DET,Detroit Pistons,Charlie Villanueva,"August 24, 1984",26.0,NBA,PF,76.0,11.0,1666.0,313.0,708.0,0.44,125.0,323.0,0.39,188.0,385.0,0.49,0.53,89.0,116.0,0.77,50.0,245.0,295.0,48.0,42.0,42.0,66.0,175.0,840.0
2012,9,2973,DET,Detroit Pistons,Charlie Villanueva,"August 24, 1984",27.0,NBA,PF,13.0,0.0,180.0,35.0,91.0,0.38,15.0,45.0,0.33,20.0,46.0,0.44,0.47,6.0,7.0,0.86,9.0,39.0,48.0,6.0,7.0,5.0,7.0,25.0,91.0
2013,9,2973,DET,Detroit Pistons,Charlie Villanueva,"August 24, 1984",28.0,NBA,PF,69.0,0.0,1092.0,175.0,464.0,0.38,90.0,259.0,0.35,85.0,205.0,0.42,0.47,27.0,49.0,0.55,49.0,192.0,241.0,54.0,31.0,39.0,39.0,96.0,467.0
2014,9,2973,DET,Detroit Pistons,Charlie Villanueva,"August 24, 1984",29.0,NBA,PF,20.0,0.0,180.0,35.0,92.0,0.38,14.0,56.0,0.25,21.0,36.0,0.58,0.46,8.0,14.0,0.57,6.0,28.0,34.0,6.0,4.0,5.0,7.0,16.0,92.0
2015,7,2973,DAL,Dallas Mavericks,Charlie Villanueva,"August 24, 1984",30.0,NBA,PF,64.0,1.0,678.0,150.0,362.0,0.41,83.0,221.0,0.38,67.0,141.0,0.48,0.53,20.0,35.0,0.57,30.0,119.0,149.0,19.0,15.0,22.0,28.0,64.0,403.0
2016,7,2973,DAL,Dallas Mavericks,Charlie Villanueva,"August 24, 1984",31.0,NBA,PF,62.0,4.0,665.0,125.0,327.0,0.38,47.0,172.0,0.27,78.0,155.0,0.5,0.45,22.0,24.0,0.92,24.0,128.0,152.0,24.0,18.0,15.0,31.0,71.0,319.0
