Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994,10,3057,GSW,Golden State Warriors,Chris Webber,"March 1, 1973",20.0,NBA,C,76.0,76.0,32.1,7.5,13.6,0.55,0.0,0.2,0.0,7.5,13.5,0.56,0.55,2.5,4.7,0.53,4.0,5.1,9.1,3.6,1.2,2.2,2.7,3.3,17.5
1995,30,3057,WSB,Washington Bullets,Chris Webber,"March 1, 1973",21.0,NBA,PF,54.0,52.0,38.3,8.6,17.4,0.5,0.7,2.7,0.28,7.9,14.7,0.54,0.52,2.2,4.3,0.5,3.7,5.9,9.6,4.7,1.5,1.6,3.1,3.4,20.1
1996,30,3057,WSB,Washington Bullets,Chris Webber,"March 1, 1973",22.0,NBA,PF,15.0,15.0,37.2,10.0,18.4,0.54,1.0,2.3,0.44,9.0,16.1,0.56,0.57,2.7,4.6,0.59,2.5,5.1,7.6,5.0,1.8,0.6,3.3,3.4,23.7
1997,30,3057,WSB,Washington Bullets,Chris Webber,"March 1, 1973",23.0,NBA,PF,72.0,72.0,39.0,8.4,16.2,0.52,0.8,2.1,0.4,7.6,14.1,0.54,0.54,2.5,4.3,0.56,3.3,7.0,10.3,4.6,1.7,1.9,3.2,3.6,20.1
1998,30,3057,WAS,Washington Wizards,Chris Webber,"March 1, 1973",24.0,NBA,C,71.0,71.0,39.6,9.1,18.9,0.48,0.9,2.9,0.32,8.2,16.0,0.51,0.51,2.8,4.7,0.59,2.5,7.0,9.5,3.8,1.6,1.7,2.6,3.8,21.9
1999,26,3057,SAC,Sacramento Kings,Chris Webber,"March 1, 1973",25.0,NBA,PF,42.0,42.0,40.9,9.0,18.5,0.49,0.1,0.8,0.12,8.9,17.7,0.5,0.49,1.9,4.1,0.45,3.5,9.4,13.0,4.1,1.4,2.1,3.5,3.5,20.0
2000,26,3057,SAC,Sacramento Kings,Chris Webber,"March 1, 1973",26.0,NBA,PF,75.0,75.0,38.4,10.0,20.6,0.48,0.4,1.3,0.28,9.6,19.4,0.5,0.49,4.1,5.5,0.75,2.5,8.0,10.5,4.6,1.6,1.7,2.9,3.5,24.5
2001,26,3057,SAC,Sacramento Kings,Chris Webber,"March 1, 1973",27.0,NBA,PF,70.0,70.0,40.5,11.2,23.4,0.48,0.0,0.4,0.07,11.2,23.0,0.49,0.48,4.6,6.6,0.7,2.6,8.5,11.1,4.2,1.3,1.7,2.8,3.2,27.1
2002,26,3057,SAC,Sacramento Kings,Chris Webber,"March 1, 1973",28.0,NBA,PF,54.0,54.0,38.4,9.9,19.9,0.5,0.1,0.4,0.26,9.8,19.6,0.5,0.5,4.7,6.3,0.75,2.8,7.3,10.1,4.8,1.7,1.4,2.9,3.4,24.5
2003,26,3057,SAC,Sacramento Kings,Chris Webber,"March 1, 1973",29.0,NBA,PF,67.0,67.0,39.1,9.9,21.4,0.46,0.1,0.3,0.24,9.8,21.1,0.46,0.46,3.2,5.3,0.61,2.4,8.1,10.5,5.4,1.6,1.3,3.2,3.0,23.0
