Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999,31,1537,TOT,Total After Trade,Damon Jones,1976-08-25,22.0,NBA,PG,24.0,0.0,14.3,1.8,5.0,0.36,1.0,2.6,0.4,0.8,2.4,0.32,0.47,0.6,0.7,0.82,0.3,1.6,1.8,1.8,0.5,0.0,0.7,1.0,5.2
1999,3,1537,NJN,New Jersey Nets,Damon Jones,1976-08-25,22.0,NBA,PG,11.0,0.0,11.9,1.3,4.0,0.32,0.9,2.6,0.34,0.4,1.4,0.27,0.43,1.0,1.2,0.85,0.2,1.0,1.2,1.2,0.6,0.0,0.5,0.6,4.5
1999,2,1537,BOS,Boston Celtics,Damon Jones,1976-08-25,22.0,NBA,PG,13.0,0.0,16.4,2.2,5.8,0.39,1.2,2.5,0.46,1.1,3.2,0.33,0.49,0.2,0.3,0.75,0.3,2.1,2.4,2.2,0.5,0.0,0.9,1.2,5.8
2000,31,1537,TOT,Total After Trade,Damon Jones,1976-08-25,23.0,NBA,PG,55.0,1.0,11.1,1.5,3.8,0.38,0.7,2.1,0.36,0.7,1.7,0.42,0.48,0.6,0.9,0.67,0.2,0.8,1.0,1.7,0.3,0.0,0.7,0.6,4.2
2000,10,1537,GSW,Golden State Warriors,Damon Jones,1976-08-25,23.0,NBA,PG,13.0,1.0,15.1,1.9,4.2,0.46,0.8,1.8,0.48,1.1,2.4,0.45,0.56,0.5,0.7,0.78,0.0,1.2,1.2,3.0,0.5,0.0,1.2,1.0,5.2
2000,7,1537,DAL,Dallas Mavericks,Damon Jones,1976-08-25,23.0,NBA,PG,42.0,0.0,9.9,1.3,3.7,0.36,0.7,2.2,0.33,0.6,1.5,0.4,0.46,0.6,0.9,0.64,0.3,0.6,0.9,1.4,0.3,0.0,0.6,0.5,3.9
2001,15,1537,VAN,Vancouver Grizzlies,Damon Jones,1976-08-25,24.0,NBA,PG,71.0,10.0,19.9,2.4,5.9,0.41,1.2,3.3,0.36,1.2,2.6,0.46,0.51,0.5,0.7,0.71,0.2,1.5,1.7,3.2,0.5,0.0,1.1,0.8,6.5
2002,9,1537,DET,Detroit Pistons,Damon Jones,1976-08-25,25.0,NBA,PG,67.0,0.0,16.2,1.7,4.2,0.4,1.0,2.8,0.37,0.7,1.5,0.46,0.52,0.6,0.9,0.73,0.2,1.3,1.5,2.1,0.3,0.0,0.9,1.2,5.1
2003,26,1537,SAC,Sacramento Kings,Damon Jones,1976-08-25,26.0,NBA,PG,49.0,1.0,14.5,1.6,4.3,0.38,0.9,2.5,0.36,0.7,1.8,0.4,0.49,0.4,0.6,0.74,0.2,1.2,1.4,1.6,0.4,0.1,0.5,0.9,4.6
2004,17,1537,MIL,Milwaukee Bucks,Damon Jones,1976-08-25,27.0,NBA,PG,82.0,26.0,24.6,2.6,6.4,0.4,1.2,3.3,0.36,1.4,3.1,0.45,0.49,0.7,0.9,0.76,0.2,1.9,2.1,5.8,0.4,0.0,1.3,1.1,7.0
2005,16,1537,MIA,Miami Heat,Damon Jones,1976-08-25,28.0,NBA,PG,82.0,66.0,31.4,4.0,8.9,0.46,2.7,6.4,0.43,1.3,2.5,0.52,0.61,0.8,1.0,0.79,0.2,2.6,2.8,4.3,0.5,0.1,1.2,1.5,11.6
2006,6,1537,CLE,Cleveland Cavaliers,Damon Jones,1976-08-25,29.0,NBA,PG,82.0,7.0,25.5,2.3,6.0,0.39,1.7,4.5,0.38,0.6,1.5,0.42,0.53,0.4,0.6,0.64,0.2,1.5,1.6,2.1,0.5,0.0,0.7,1.4,6.7
2007,6,1537,CLE,Cleveland Cavaliers,Damon Jones,1976-08-25,30.0,NBA,PG,60.0,0.0,19.6,2.3,5.9,0.39,1.5,3.9,0.38,0.8,2.1,0.39,0.51,0.5,0.7,0.68,0.2,1.0,1.1,1.6,0.3,0.0,0.6,0.9,6.6
2008,6,1537,CLE,Cleveland Cavaliers,Damon Jones,1976-08-25,31.0,NBA,SG,67.0,3.0,19.9,2.3,5.4,0.42,1.7,4.1,0.42,0.5,1.3,0.41,0.57,0.3,0.4,0.71,0.1,1.0,1.1,1.9,0.3,0.0,0.5,1.0,6.5
2009,17,1537,MIL,Milwaukee Bucks,Damon Jones,1976-08-25,32.0,NBA,PG,18.0,0.0,6.0,0.6,1.9,0.32,0.6,1.6,0.39,0.0,0.3,0.0,0.48,0.0,0.0,,0.0,0.3,0.3,0.4,0.2,0.0,0.3,0.2,1.8
