Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010,6,1099,CLE,Cleveland Cavaliers,Danny Green,"June 22, 1987",22.0,NBA,SG,20.0,0.0,115.0,15.0,39.0,0.38,6.0,22.0,0.27,9.0,17.0,0.53,0.46,4.0,6.0,0.67,8.0,9.0,17.0,5.0,6.0,3.0,5.0,9.0,40.0
2011,27,1099,SAS,San Antonio Spurs,Danny Green,"June 22, 1987",23.0,NBA,SG,8.0,0.0,92.0,17.0,35.0,0.49,7.0,19.0,0.37,10.0,16.0,0.62,0.59,0.0,0.0,,3.0,12.0,15.0,2.0,2.0,1.0,5.0,7.0,41.0
2012,27,1099,SAS,San Antonio Spurs,Danny Green,"June 22, 1987",24.0,NBA,SG,66.0,38.0,1522.0,211.0,477.0,0.44,102.0,234.0,0.44,109.0,243.0,0.45,0.55,79.0,100.0,0.79,54.0,174.0,228.0,86.0,58.0,46.0,67.0,107.0,603.0
2013,27,1099,SAS,San Antonio Spurs,Danny Green,"June 22, 1987",25.0,NBA,SG,80.0,80.0,2201.0,297.0,663.0,0.45,177.0,413.0,0.43,120.0,250.0,0.48,0.58,67.0,79.0,0.85,36.0,208.0,244.0,141.0,92.0,54.0,94.0,124.0,838.0
2014,27,1099,SAS,San Antonio Spurs,Danny Green,"June 22, 1987",26.0,NBA,SG,68.0,59.0,1651.0,218.0,505.0,0.43,132.0,318.0,0.42,86.0,187.0,0.46,0.56,50.0,63.0,0.79,25.0,204.0,229.0,104.0,65.0,61.0,76.0,107.0,618.0
2015,27,1099,SAS,San Antonio Spurs,Danny Green,"June 22, 1987",27.0,NBA,SG,81.0,80.0,2312.0,322.0,738.0,0.44,191.0,457.0,0.42,131.0,281.0,0.47,0.57,111.0,127.0,0.87,54.0,289.0,343.0,158.0,101.0,87.0,93.0,163.0,946.0
2016,27,1099,SAS,San Antonio Spurs,Danny Green,"June 22, 1987",28.0,NBA,SG,79.0,79.0,2062.0,211.0,561.0,0.38,116.0,349.0,0.33,95.0,212.0,0.45,0.48,34.0,46.0,0.74,48.0,255.0,303.0,141.0,79.0,64.0,75.0,141.0,572.0
2017,27,1099,SAS,San Antonio Spurs,Danny Green,"June 22, 1987",29.0,NBA,SG,68.0,68.0,1807.0,176.0,449.0,0.39,118.0,311.0,0.38,58.0,138.0,0.42,0.52,27.0,32.0,0.84,31.0,193.0,224.0,124.0,70.0,57.0,76.0,120.0,497.0
2018,27,1099,SAS,San Antonio Spurs,Danny Green,"June 22, 1987",30.0,NBA,SG,70.0,60.0,1791.0,217.0,561.0,0.39,116.0,320.0,0.36,101.0,241.0,0.42,0.49,50.0,65.0,0.77,41.0,208.0,249.0,110.0,63.0,80.0,74.0,122.0,600.0
2019,28,1099,TOR,Toronto Raptors,Danny Green,"June 22, 1987",31.0,NBA,SG,80.0,80.0,2216.0,293.0,630.0,0.46,198.0,435.0,0.46,95.0,195.0,0.49,0.62,37.0,44.0,0.84,60.0,257.0,317.0,126.0,73.0,53.0,75.0,171.0,821.0
2020,14,1099,LAL,Los Angeles Lakers,Danny Green,"June 22, 1987",32.0,NBA,SG,68.0,68.0,1687.0,197.0,474.0,0.42,120.0,327.0,0.37,77.0,147.0,0.52,0.54,33.0,48.0,0.69,51.0,174.0,225.0,91.0,85.0,32.0,63.0,136.0,547.0
2021,23,1099,PHI,Philadelphia 76Ers,Danny Green,"June 22, 1987",33.0,NBA,SF,34.0,34.0,977.0,104.0,260.0,0.4,78.0,203.0,0.38,26.0,57.0,0.46,0.55,13.0,20.0,0.65,31.0,92.0,123.0,60.0,43.0,26.0,45.0,64.0,299.0
