Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
1989,5,3230,CHI,Chicago Bulls,David Wood,1964-11-30,24.0,NBA,PF,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,117.0
1991,11,3230,HOU,Houston Rockets,David Wood,1964-11-30,26.0,NBA,SF,82.0,13.0,1421.0,5.1,12.0,0.42,1.0,3.1,0.31,4.1,8.9,0.46,3.7,4.6,0.81,3.7,4.8,8.4,3.2,2.0,0.5,3.1,8.1,14.8,107.0,105.0
1993,27,3230,SAS,San Antonio Spurs,David Wood,1964-11-30,28.0,NBA,PF,64.0,2.0,598.0,4.4,9.8,0.44,0.4,1.8,0.24,4.0,8.1,0.49,3.9,4.6,0.84,3.2,5.0,8.2,2.9,1.1,1.0,2.4,7.8,13.0,109.0,109.0
1994,9,3230,DET,Detroit Pistons,David Wood,1964-11-30,29.0,NBA,PF,78.0,3.0,1182.0,5.1,11.2,0.46,0.9,2.1,0.45,4.2,9.1,0.46,2.7,3.5,0.76,4.5,5.8,10.3,2.2,1.7,0.8,1.5,8.7,13.9,117.0,111.0
1995,10,3230,GSW,Golden State Warriors,David Wood,1964-11-30,30.0,NBA,PF,78.0,13.0,1336.0,5.6,12.0,0.47,1.1,3.3,0.34,4.5,8.6,0.52,3.3,4.3,0.78,3.0,5.8,8.8,2.4,1.0,0.5,1.9,8.0,15.7,115.0,114.0
1996,31,3230,TOT,Total After Trade,David Wood,1964-11-30,31.0,NBA,PF,62.0,0.0,772.0,4.9,11.4,0.43,1.3,4.1,0.32,3.6,7.3,0.49,2.5,3.3,0.76,3.3,6.7,10.1,2.2,1.2,0.7,1.6,9.8,13.6,114.0,111.0
1996,10,3230,GSW,Golden State Warriors,David Wood,1964-11-30,31.0,NBA,PF,21.0,0.0,96.0,3.7,7.5,0.5,0.5,1.6,0.33,3.2,5.9,0.55,3.7,4.3,0.88,3.7,4.8,8.6,2.7,1.1,0.5,1.6,12.3,11.8,130.0,112.0
1996,24,3230,PHO,Phoenix Suns,David Wood,1964-11-30,31.0,NBA,PF,4.0,0.0,34.0,1.5,9.1,0.17,0.0,0.0,,1.5,9.1,0.17,3.0,3.0,1.0,3.0,4.5,7.6,3.0,1.5,0.0,3.0,13.6,6.1,72.0,112.0
1996,7,3230,DAL,Dallas Mavericks,David Wood,1964-11-30,31.0,NBA,PF,37.0,0.0,642.0,5.2,12.1,0.44,1.5,4.6,0.32,3.8,7.4,0.5,2.3,3.1,0.72,3.3,7.1,10.4,2.1,1.3,0.7,1.5,9.2,14.3,114.0,111.0
1997,17,3230,MIL,Milwaukee Bucks,David Wood,1964-11-30,32.0,NBA,PF,46.0,0.0,240.0,4.5,8.5,0.53,1.1,3.4,0.33,3.4,5.1,0.65,2.7,4.0,0.67,1.1,4.9,6.0,2.9,1.6,1.3,1.3,8.0,12.7,123.0,109.0
