Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010,24,540,PHO,Phoenix Suns,Earl Clark,1988-01-17,22.0,NBA,PF,51.0,0.0,383.0,5.3,14.2,0.37,0.2,0.5,0.4,5.1,13.7,0.37,2.4,3.4,0.72,1.7,4.1,5.8,2.0,0.7,1.2,2.2,2.3,13.2
2011,31,540,TOT,Total After Trade,Earl Clark,1988-01-17,23.0,NBA,SF,42.0,0.0,464.0,5.3,12.3,0.43,0.0,0.4,0.0,5.3,11.9,0.44,2.1,3.6,0.57,2.9,5.0,7.8,0.7,0.6,1.4,2.2,3.5,12.6
2011,24,540,PHO,Phoenix Suns,Earl Clark,1988-01-17,23.0,NBA,SF,9.0,0.0,72.0,6.0,15.5,0.39,0.0,0.0,,6.0,15.5,0.39,2.5,5.0,0.5,2.0,6.5,8.5,2.0,0.5,1.5,1.0,3.0,14.5
2011,22,540,ORL,Orlando Magic,Earl Clark,1988-01-17,23.0,NBA,SF,33.0,0.0,392.0,5.1,11.7,0.44,0.0,0.5,0.0,5.1,11.2,0.46,2.0,3.4,0.6,3.0,4.7,7.7,0.5,0.6,1.4,2.4,3.6,12.3
2012,22,540,ORL,Orlando Magic,Earl Clark,1988-01-17,24.0,NBA,PF,45.0,1.0,559.0,3.3,9.0,0.37,0.0,0.0,,3.3,9.0,0.37,1.4,1.9,0.72,2.3,5.7,8.0,1.2,0.8,2.1,1.6,4.6,7.9
2013,14,540,LAL,Los Angeles Lakers,Earl Clark,1988-01-17,25.0,NBA,PF,59.0,36.0,1363.0,4.5,10.2,0.44,0.9,2.7,0.34,3.6,7.4,0.48,1.4,2.0,0.7,2.2,6.4,8.6,1.7,1.0,1.2,1.6,2.7,11.3
2014,31,540,TOT,Total After Trade,Earl Clark,1988-01-17,26.0,NBA,PF,54.0,17.0,768.0,4.5,12.2,0.37,1.9,5.7,0.34,2.6,6.5,0.4,1.0,1.6,0.65,1.0,5.7,6.7,0.8,0.8,1.2,1.5,3.1,12.0
2014,6,540,CLE,Cleveland Cavaliers,Earl Clark,1988-01-17,26.0,NBA,PF,45.0,17.0,698.0,4.6,12.4,0.38,2.1,6.0,0.34,2.6,6.4,0.4,0.7,1.2,0.58,1.0,5.5,6.6,0.8,0.8,1.0,1.5,3.1,12.1
2014,20,540,NYK,New York Knicks,Earl Clark,1988-01-17,26.0,NBA,PF,9.0,0.0,70.0,3.6,10.8,0.33,0.5,3.1,0.17,3.1,7.7,0.4,4.1,5.1,0.8,1.0,7.2,8.2,1.0,0.5,3.1,0.5,3.1,11.8
2015,3,540,BRK,Brooklyn Nets,Earl Clark,1988-01-17,27.0,NBA,PF,10.0,0.0,93.0,4.3,11.6,0.37,1.5,5.4,0.29,2.7,6.2,0.44,0.4,1.5,0.25,0.4,8.5,8.9,1.2,1.2,1.5,2.3,4.6,10.5
