Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011,27,2125,SAS,San Antonio Spurs,Gary Neal,1984-10-03,26.0,NBA,SG,80.0,1.0,1685.0,6.1,13.5,0.45,2.8,6.6,0.42,3.3,6.9,0.48,1.8,2.2,0.81,0.4,3.7,4.2,2.1,0.6,0.1,1.7,3.2,16.7
2012,27,2125,SAS,San Antonio Spurs,Gary Neal,1984-10-03,27.0,NBA,SG,56.0,7.0,1206.0,6.3,14.5,0.44,2.5,5.9,0.42,3.9,8.6,0.45,1.5,1.9,0.78,0.4,3.2,3.5,3.5,0.8,0.1,1.8,2.2,16.6
2013,27,2125,SAS,San Antonio Spurs,Gary Neal,1984-10-03,28.0,NBA,SG,68.0,17.0,1484.0,6.0,14.5,0.41,2.2,6.1,0.36,3.8,8.4,0.45,1.6,1.8,0.86,0.3,3.2,3.5,3.1,0.7,0.0,1.7,2.3,15.6
2014,31,2125,TOT,Total After Trade,Gary Neal,1984-10-03,29.0,NBA,SG,52.0,3.0,1114.0,6.2,15.2,0.41,2.2,5.8,0.38,4.0,9.4,0.43,3.0,3.4,0.9,0.3,2.6,2.9,2.7,0.6,0.0,2.1,2.1,17.7
2014,17,2125,MIL,Milwaukee Bucks,Gary Neal,1984-10-03,29.0,NBA,SG,30.0,2.0,607.0,6.4,16.4,0.39,2.4,6.6,0.36,4.0,9.8,0.41,2.7,3.2,0.83,0.5,2.5,3.0,2.7,0.4,0.0,2.3,1.5,17.9
2014,4,2125,CHA,Charlotte Bobcats,Gary Neal,1984-10-03,29.0,NBA,SG,22.0,1.0,507.0,6.0,13.8,0.44,2.0,4.9,0.41,4.0,8.9,0.46,3.5,3.6,0.96,0.1,2.7,2.8,2.6,0.8,0.0,1.8,2.8,17.5
2015,31,2125,TOT,Total After Trade,Gary Neal,1984-10-03,30.0,NBA,SG,54.0,1.0,1193.0,5.7,15.2,0.37,1.5,4.9,0.3,4.2,10.2,0.41,3.5,4.1,0.87,0.4,3.5,3.9,3.0,0.7,0.0,2.0,2.7,16.4
2015,4,2125,CHO,Charlotte Hornets,Gary Neal,1984-10-03,30.0,NBA,SG,43.0,0.0,931.0,5.5,15.4,0.36,1.5,5.1,0.29,4.0,10.2,0.39,3.4,3.9,0.86,0.5,3.1,3.6,3.1,0.6,0.0,2.1,2.7,16.0
2015,18,2125,MIN,Minnesota Timberwolves,Gary Neal,1984-10-03,30.0,NBA,SG,11.0,1.0,262.0,6.2,14.4,0.43,1.5,4.3,0.36,4.7,10.2,0.46,4.0,4.5,0.88,0.0,4.8,4.8,2.7,1.0,0.0,1.4,2.5,17.9
2016,30,2125,WAS,Washington Wizards,Gary Neal,1984-10-03,31.0,NBA,SG,40.0,2.0,807.0,6.7,14.5,0.46,1.8,4.5,0.41,4.9,10.0,0.49,2.1,2.5,0.86,0.5,3.2,3.7,2.1,0.9,0.0,1.3,2.5,17.4
2017,1,2125,ATL,Atlanta Hawks,Gary Neal,1984-10-03,32.0,NBA,SG,2.0,0.0,18.0,0.0,14.0,0.0,0.0,4.0,0.0,0.0,10.0,0.0,8.0,8.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,8.0
