Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
2001,26,2929,SAC,Sacramento Kings,Hedo Turkoglu,1979-03-19,21.0,NBA,SF,74.0,7.0,1245.0,138.0,335.0,0.41,28.0,86.0,0.33,110.0,249.0,0.44,0.45,87.0,112.0,0.78,49.0,161.0,210.0,69.0,52.0,24.0,55.0,139.0,391.0,0.0
2002,26,2929,SAC,Sacramento Kings,Hedo Turkoglu,1979-03-19,22.0,NBA,SF,80.0,10.0,1970.0,290.0,687.0,0.42,63.0,171.0,0.37,227.0,516.0,0.44,0.47,167.0,230.0,0.73,63.0,300.0,363.0,163.0,57.0,31.0,81.0,184.0,810.0,0.0
2003,26,2929,SAC,Sacramento Kings,Hedo Turkoglu,1979-03-19,23.0,NBA,SF,67.0,11.0,1175.0,165.0,391.0,0.42,29.0,78.0,0.37,136.0,313.0,0.44,0.46,88.0,110.0,0.8,35.0,153.0,188.0,87.0,25.0,12.0,50.0,125.0,447.0,0.0
2004,27,2929,SAS,San Antonio Spurs,Hedo Turkoglu,1979-03-19,24.0,NBA,SF,80.0,44.0,2073.0,262.0,645.0,0.41,101.0,241.0,0.42,161.0,404.0,0.4,0.48,114.0,161.0,0.71,52.0,306.0,358.0,154.0,80.0,32.0,94.0,165.0,739.0,0.0
2005,22,2929,ORL,Orlando Magic,Hedo Turkoglu,1979-03-19,25.0,NBA,SF,67.0,11.0,1757.0,328.0,782.0,0.42,93.0,245.0,0.38,235.0,537.0,0.44,0.48,188.0,225.0,0.84,62.0,171.0,233.0,153.0,41.0,18.0,119.0,140.0,937.0,0.0
2006,22,2929,ORL,Orlando Magic,Hedo Turkoglu,1979-03-19,26.0,NBA,SF,78.0,59.0,2615.0,398.0,877.0,0.45,114.0,283.0,0.4,284.0,594.0,0.48,0.52,255.0,296.0,0.86,70.0,263.0,333.0,216.0,70.0,21.0,130.0,234.0,1165.0,0.0
2007,22,2929,ORL,Orlando Magic,Hedo Turkoglu,1979-03-19,27.0,NBA,SF,73.0,73.0,2268.0,345.0,823.0,0.42,109.0,281.0,0.39,236.0,542.0,0.44,0.48,171.0,219.0,0.78,57.0,236.0,293.0,233.0,70.0,16.0,143.0,221.0,970.0,0.0
2008,22,2929,ORL,Orlando Magic,Hedo Turkoglu,1979-03-19,28.0,NBA,SF,82.0,82.0,3026.0,556.0,1219.0,0.46,166.0,415.0,0.4,390.0,804.0,0.48,0.52,324.0,391.0,0.83,83.0,388.0,471.0,409.0,74.0,25.0,246.0,244.0,1602.0,2.0
2009,22,2929,ORL,Orlando Magic,Hedo Turkoglu,1979-03-19,29.0,NBA,SF,77.0,77.0,2815.0,423.0,1025.0,0.41,134.0,376.0,0.36,289.0,649.0,0.44,0.48,314.0,389.0,0.81,45.0,365.0,410.0,375.0,64.0,19.0,204.0,218.0,1294.0,0.0
2010,28,2929,TOR,Toronto Raptors,Hedo Turkoglu,1979-03-19,30.0,NBA,SF,74.0,69.0,2272.0,276.0,674.0,0.41,108.0,289.0,0.37,168.0,385.0,0.44,0.49,175.0,226.0,0.77,42.0,301.0,343.0,304.0,55.0,32.0,125.0,220.0,835.0,0.0
2011,31,2929,TOT,Total After Trade,Hedo Turkoglu,1979-03-19,31.0,NBA,"PF,SF",81.0,72.0,2540.0,322.0,722.0,0.45,127.0,310.0,0.41,195.0,412.0,0.47,0.53,106.0,156.0,0.68,45.0,311.0,356.0,343.0,72.0,34.0,132.0,247.0,877.0,1.0
2011,24,2929,PHO,Phoenix Suns,Hedo Turkoglu,1979-03-19,31.0,NBA,PF,25.0,16.0,630.0,85.0,193.0,0.44,41.0,97.0,0.42,44.0,96.0,0.46,0.55,26.0,36.0,0.72,20.0,80.0,100.0,58.0,18.0,14.0,31.0,77.0,237.0,0.0
2011,22,2929,ORL,Orlando Magic,Hedo Turkoglu,1979-03-19,31.0,NBA,SF,56.0,56.0,1910.0,237.0,529.0,0.45,86.0,213.0,0.4,151.0,316.0,0.48,0.53,80.0,120.0,0.67,25.0,231.0,256.0,285.0,54.0,20.0,101.0,170.0,640.0,1.0
2012,22,2929,ORL,Orlando Magic,Hedo Turkoglu,1979-03-19,32.0,NBA,SF,53.0,53.0,1653.0,209.0,504.0,0.42,91.0,258.0,0.35,118.0,246.0,0.48,0.5,67.0,95.0,0.7,24.0,175.0,199.0,233.0,45.0,17.0,142.0,139.0,576.0,0.0
2013,22,2929,ORL,Orlando Magic,Hedo Turkoglu,1979-03-19,33.0,NBA,SF,11.0,1.0,189.0,14.0,53.0,0.26,1.0,24.0,0.04,13.0,29.0,0.45,0.27,3.0,6.0,0.5,4.0,22.0,26.0,23.0,7.0,1.0,12.0,11.0,32.0,0.0
2014,13,2929,LAC,Los Angeles Clippers,Hedo Turkoglu,1979-03-19,34.0,NBA,SF,38.0,0.0,392.0,42.0,109.0,0.38,22.0,50.0,0.44,20.0,59.0,0.34,0.49,9.0,18.0,0.5,11.0,78.0,89.0,33.0,19.0,10.0,16.0,50.0,115.0,0.0
2015,13,2929,LAC,Los Angeles Clippers,Hedo Turkoglu,1979-03-19,35.0,NBA,SF,62.0,2.0,705.0,83.0,188.0,0.44,60.0,139.0,0.43,23.0,49.0,0.47,0.6,6.0,11.0,0.55,5.0,94.0,99.0,37.0,19.0,7.0,29.0,66.0,232.0,0.0
