Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003,14.0,2247,LAL,Los Angeles Lakers,Jannero Pargo,1979-10-22,23.0,NBA,PG,34,0,10.1,1.1,2.7,0.398,0.2,0.7,0.292,0.9,2.0,0.435,0.435,0.1,0.1,1.0,0.3,0.8,1.1,1.1,0.4,0.1,0.7,1.3,2.5
2004,31.0,2247,TOT,Total After Trade,Jannero Pargo,1979-10-22,24.0,NBA,PG,31,1,15.5,2.6,6.4,0.407,0.7,2.0,0.355,1.9,4.4,0.431,0.462,0.7,0.9,0.852,0.3,0.9,1.2,2.3,0.4,0.2,1.5,1.6,6.7
2004,14.0,2247,LAL,Los Angeles Lakers,Jannero Pargo,1979-10-22,24.0,NBA,PG,13,0,4.8,0.5,1.2,0.375,0.2,0.3,0.5,0.3,0.9,0.333,0.438,0.0,0.0,,0.0,0.5,0.5,0.8,0.2,0.0,0.9,0.4,1.1
2004,28.0,2247,TOR,Toronto Raptors,Jannero Pargo,1979-10-22,24.0,NBA,PG,5,0,14.2,1.8,5.8,0.31,0.0,1.0,0.0,1.8,4.8,0.375,0.31,0.0,0.0,,0.0,0.8,0.8,2.4,0.8,0.2,1.0,1.4,3.6
2004,5.0,2247,CHI,Chicago Bulls,Jannero Pargo,1979-10-22,24.0,NBA,PG,13,1,26.5,5.1,11.8,0.429,1.5,4.1,0.377,3.5,7.8,0.455,0.494,1.8,2.1,0.852,0.6,1.5,2.1,3.6,0.5,0.4,2.3,2.9,13.5
2005,5.0,2247,CHI,Chicago Bulls,Jannero Pargo,1979-10-22,25.0,NBA,PG,32,0,14.2,2.6,6.7,0.385,0.7,2.1,0.348,1.8,4.6,0.401,0.439,0.5,0.7,0.739,0.4,1.1,1.5,2.4,0.5,0.0,1.4,1.7,6.4
2006,5.0,2247,CHI,Chicago Bulls,Jannero Pargo,1979-10-22,26.0,NBA,PG,57,0,11.3,1.9,5.1,0.373,0.7,1.8,0.379,1.2,3.3,0.37,0.44,0.3,0.4,0.81,0.1,0.9,1.1,1.6,0.4,0.0,1.1,1.0,4.8
2007,19.0,2247,NOK,New Orleans/Oklahoma City Hornets,Jannero Pargo,1979-10-22,27.0,NBA,PG,82,7,20.9,3.5,8.4,0.409,1.0,2.5,0.388,2.5,5.9,0.418,0.467,1.3,1.5,0.852,0.2,2.0,2.2,2.5,0.6,0.0,1.5,1.5,9.2
2008,19.0,2247,NOH,New Orleans Hornets,Jannero Pargo,1979-10-22,28.0,NBA,SG,80,5,18.7,3.2,8.2,0.39,0.8,2.3,0.349,2.4,5.8,0.406,0.439,0.9,1.0,0.877,0.3,1.3,1.6,2.4,0.6,0.1,1.2,1.5,8.1
2010,5.0,2247,CHI,Chicago Bulls,Jannero Pargo,1979-10-22,30.0,NBA,PG,63,5,13.2,2.1,6.0,0.346,0.6,2.2,0.275,1.5,3.9,0.387,0.396,0.7,0.7,0.933,0.1,1.1,1.2,1.4,0.5,0.0,0.8,1.1,5.5
2012,1.0,2247,ATL,Atlanta Hawks,Jannero Pargo,1979-10-22,32.0,NBA,PG,50,0,13.4,2.1,5.1,0.415,1.1,2.8,0.384,1.0,2.3,0.452,0.52,0.4,0.4,0.95,0.2,1.3,1.5,1.9,0.4,0.0,1.0,1.3,5.6
2013,31.0,2247,TOT,Total After Trade,Jannero Pargo,1979-10-22,33.0,NBA,PG,32,0,15.8,2.4,6.6,0.368,1.2,3.6,0.336,1.2,3.0,0.406,0.46,0.4,0.4,0.923,0.3,0.8,1.1,2.1,0.6,0.1,1.3,1.3,6.5
2013,30.0,2247,WAS,Washington Wizards,Jannero Pargo,1979-10-22,33.0,NBA,PG,7,0,14.6,1.1,4.6,0.25,0.4,2.9,0.15,0.7,1.7,0.417,0.297,0.3,0.3,1.0,0.0,0.9,0.9,2.0,0.0,0.1,1.1,1.1,3.0
2013,1.0,2247,ATL,Atlanta Hawks,Jannero Pargo,1979-10-22,33.0,NBA,PG,7,0,16.1,1.9,5.4,0.342,1.0,2.9,0.35,0.9,2.6,0.333,0.434,0.3,0.3,1.0,0.1,0.9,1.0,2.7,0.4,0.0,0.7,1.1,5.0
2013,4.0,2247,CHA,Charlotte Bobcats,Jannero Pargo,1979-10-22,33.0,NBA,PG,18,0,16.2,3.2,7.9,0.401,1.6,4.2,0.382,1.6,3.7,0.424,0.504,0.4,0.5,0.889,0.5,0.7,1.2,1.9,0.8,0.1,1.6,1.4,8.4
2014,4.0,2247,CHA,Charlotte Bobcats,Jannero Pargo,1979-10-22,34.0,NBA,PG,29,0,8.3,1.8,4.1,0.441,0.8,2.1,0.4,1.0,2.0,0.483,0.542,0.3,0.4,0.727,0.0,0.7,0.7,1.8,0.5,0.0,0.9,0.6,4.7
2015,4.0,2247,CHO,Charlotte Hornets,Jannero Pargo,1979-10-22,35.0,NBA,PG,9,0,8.1,1.7,3.9,0.429,1.0,2.4,0.409,0.7,1.4,0.462,0.557,0.2,0.2,1.0,0.0,0.3,0.3,0.9,0.0,0.0,0.3,0.9,4.6
