Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
2001,22,1999,ORL,Orlando Magic,Mike Miller,1980-02-19,20.0,NBA,SF,4.0,4.0,112.0,8.8,22.2,0.4,3.2,8.3,0.39,5.5,13.8,0.4,1.4,1.8,0.75,2.3,6.0,8.3,3.2,0.0,1.4,1.4,6.0,22.2,104.0,118.0
2002,22,1999,ORL,Orlando Magic,Mike Miller,1980-02-19,21.0,NBA,SF,4.0,1.0,72.0,5.3,15.9,0.33,0.8,6.1,0.12,4.5,9.8,0.46,3.0,3.0,1.0,0.0,3.8,3.8,3.8,3.0,0.0,3.0,6.1,14.4,80.0,106.0
2004,15,1999,MEM,Memphis Grizzlies,Mike Miller,1980-02-19,23.0,NBA,SF,4.0,4.0,98.0,6.8,19.4,0.35,2.8,7.4,0.38,4.0,12.0,0.33,0.6,1.7,0.33,0.0,6.8,6.8,1.7,2.8,0.0,2.8,2.3,17.1,79.0,113.0
2005,15,1999,MEM,Memphis Grizzlies,Mike Miller,1980-02-19,24.0,NBA,SF,4.0,4.0,110.0,8.6,17.6,0.49,3.8,8.1,0.47,4.8,9.5,0.5,1.9,1.9,1.0,0.0,4.8,4.8,5.2,0.0,1.4,2.4,3.3,22.8,119.0,127.0
2006,15,1999,MEM,Memphis Grizzlies,Mike Miller,1980-02-19,25.0,NBA,SG,4.0,1.0,107.0,6.5,16.2,0.4,0.5,4.3,0.12,6.0,11.9,0.5,4.9,4.9,1.0,0.5,7.6,8.1,3.8,1.1,1.1,4.3,6.0,18.4,90.0,114.0
2011,16,1999,MIA,Miami Heat,Mike Miller,1980-02-19,30.0,NBA,SG,18.0,0.0,215.0,4.7,13.7,0.34,2.8,9.6,0.3,1.8,4.1,0.44,0.0,0.0,,2.3,10.3,12.7,3.4,1.8,0.3,2.1,6.7,12.2,95.0,102.0
2012,16,1999,MIA,Miami Heat,Mike Miller,1980-02-19,31.0,NBA,SG,23.0,0.0,368.0,5.9,14.7,0.4,4.6,11.1,0.41,1.3,3.6,0.38,1.3,1.6,0.82,1.3,7.3,8.6,2.5,1.3,0.3,1.8,6.1,17.8,114.0,103.0
2013,16,1999,MIA,Miami Heat,Mike Miller,1980-02-19,32.0,NBA,SF,17.0,5.0,232.0,5.0,10.7,0.47,3.8,8.5,0.44,1.2,2.1,0.56,0.0,0.0,,0.7,7.1,7.8,3.6,1.9,0.5,1.2,6.2,13.7,126.0,103.0
2014,15,1999,MEM,Memphis Grizzlies,Mike Miller,1980-02-19,33.0,NBA,SF,7.0,1.0,173.0,4.7,13.1,0.36,4.4,9.1,0.48,0.3,4.1,0.08,2.2,2.8,0.78,0.6,7.5,8.1,2.8,1.9,0.0,1.6,5.0,15.9,109.0,109.0
2015,6,1999,CLE,Cleveland Cavaliers,Mike Miller,1980-02-19,34.0,NBA,SF,9.0,1.0,65.0,2.4,4.1,0.6,2.4,4.1,0.6,0.0,0.0,,0.0,0.0,,0.0,8.1,8.1,0.0,0.8,0.8,0.8,4.9,7.3,139.0,105.0
