Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010,18,847,MIN,Minnesota Timberwolves,Wayne Ellington,1987-11-29,22.0,NBA,SG,76.0,1.0,1384.0,4.9,11.7,0.42,1.7,4.2,0.4,3.3,7.4,0.44,1.6,1.8,0.87,0.9,3.3,4.1,1.9,0.5,0.1,1.9,1.9,13.1
2011,18,847,MIN,Minnesota Timberwolves,Wayne Ellington,1987-11-29,23.0,NBA,SG,62.0,8.0,1181.0,4.9,12.1,0.4,1.5,3.7,0.4,3.4,8.4,0.41,1.3,1.6,0.79,0.8,2.5,3.3,2.2,0.9,0.1,1.6,2.6,12.5
2012,18,847,MIN,Minnesota Timberwolves,Wayne Ellington,1987-11-29,24.0,NBA,SG,51.0,4.0,973.0,4.5,11.2,0.4,1.3,4.0,0.32,3.2,7.2,0.45,1.2,1.5,0.8,0.5,3.1,3.7,1.2,1.0,0.4,1.0,2.1,11.5
2013,31,847,TOT,Total After Trade,Wayne Ellington,1987-11-29,25.0,NBA,SG,78.0,21.0,1661.0,4.9,11.5,0.43,2.0,5.2,0.39,2.9,6.3,0.46,1.5,1.6,0.91,0.5,3.1,3.6,2.3,1.0,0.1,1.2,1.8,13.3
2013,15,847,MEM,Memphis Grizzlies,Wayne Ellington,1987-11-29,25.0,NBA,SG,40.0,4.0,676.0,4.3,10.6,0.41,2.2,5.2,0.42,2.1,5.4,0.39,0.8,0.9,0.94,0.3,2.5,2.8,2.2,0.9,0.1,1.3,2.0,11.6
2013,6,847,CLE,Cleveland Cavaliers,Wayne Ellington,1987-11-29,25.0,NBA,SG,38.0,17.0,985.0,5.3,12.1,0.44,1.9,5.2,0.37,3.4,6.8,0.49,1.9,2.2,0.9,0.7,3.4,4.2,2.3,1.1,0.1,1.2,1.6,14.5
2014,7,847,DAL,Dallas Mavericks,Wayne Ellington,1987-11-29,26.0,NBA,SG,45.0,1.0,393.0,5.0,11.5,0.44,2.3,5.4,0.42,2.7,6.1,0.45,0.9,1.0,0.91,0.7,3.2,3.9,1.7,1.5,0.2,1.0,3.0,13.3
2015,14,847,LAL,Los Angeles Lakers,Wayne Ellington,1987-11-29,27.0,NBA,SG,65.0,36.0,1675.0,5.5,13.3,0.41,1.9,5.2,0.37,3.5,8.0,0.44,1.1,1.4,0.81,0.7,3.8,4.5,2.3,0.7,0.0,1.1,1.7,14.0
2016,3,847,BRK,Brooklyn Nets,Wayne Ellington,1987-11-29,28.0,NBA,SG,76.0,41.0,1615.0,4.9,12.5,0.39,2.1,6.0,0.36,2.7,6.5,0.42,1.2,1.4,0.86,0.4,3.4,3.9,1.9,1.1,0.1,1.0,1.8,13.1
2017,16,847,MIA,Miami Heat,Wayne Ellington,1987-11-29,29.0,NBA,SG,62.0,13.0,1500.0,5.5,13.3,0.42,3.6,9.5,0.38,2.0,3.9,0.51,0.9,1.0,0.86,0.4,2.7,3.2,1.7,0.8,0.1,0.7,1.7,15.6
2018,16,847,MIA,Miami Heat,Wayne Ellington,1987-11-29,30.0,NBA,SG,77.0,2.0,2041.0,5.0,12.3,0.41,4.0,10.2,0.39,1.0,2.1,0.48,1.2,1.4,0.86,0.4,3.4,3.8,1.4,0.9,0.1,0.9,1.7,15.2
2019,31,847,TOT,Total After Trade,Wayne Ellington,1987-11-29,31.0,NBA,SG,53.0,38.0,1297.0,5.1,12.7,0.4,3.8,10.3,0.37,1.3,2.4,0.54,1.1,1.4,0.8,0.4,2.6,3.0,2.0,1.5,0.2,1.1,2.6,15.1
2019,16,847,MIA,Miami Heat,Wayne Ellington,1987-11-29,31.0,NBA,SG,25.0,12.0,533.0,4.7,12.4,0.38,3.8,10.5,0.37,0.8,2.0,0.41,0.9,1.1,0.88,0.4,2.8,3.2,2.0,1.6,0.2,0.9,2.7,14.1
2019,9,847,DET,Detroit Pistons,Wayne Ellington,1987-11-29,31.0,NBA,SG,28.0,26.0,764.0,5.4,12.9,0.42,3.8,10.2,0.37,1.6,2.6,0.61,1.2,1.6,0.76,0.4,2.5,2.8,2.0,1.4,0.1,1.2,2.5,15.8
2020,20,847,NYK,New York Knicks,Wayne Ellington,1987-11-29,32.0,NBA,SG,36.0,1.0,558.0,3.9,11.2,0.35,3.2,9.2,0.35,0.7,2.0,0.36,0.7,0.8,0.85,0.3,3.9,4.2,2.8,0.8,0.3,1.2,2.6,11.8
2021,9,847,DET,Detroit Pistons,Wayne Ellington,1987-11-29,33.0,NBA,SG,30.0,25.0,697.0,5.6,12.5,0.45,4.2,9.9,0.42,1.4,2.6,0.54,1.0,1.4,0.74,0.4,2.3,2.7,2.2,0.7,0.3,1.1,2.3,16.4
