Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
1984,1,396,ATL,Atlanta Hawks,31,Rickey Brown,C,6-10,215,1958-08-20,US,3,Mississippi State
1984,1,631,ATL,Atlanta Hawks,14,Charlie Criss,PG,5-8,165,1948-11-06,US,6,New Mexico State
1984,1,691,ATL,Atlanta Hawks,16,Johnny Davis,PG,6-2,170,1955-10-21,US,7,Dayton
1984,1,1047,ATL,Atlanta Hawks,34,Mike Glenn,SG,6-2,175,1955-09-10,US,6,Southern Illinois
1984,1,1227,ATL,Atlanta Hawks,44,Scott Hastings,PF,6-10,235,1960-06-03,US,1,Arkansas
1984,1,1290,ATL,Atlanta Hawks,24,Armond Hill,PG,6-4,190,1953-03-31,US,7,Princeton
1984,1,1486,ATL,Atlanta Hawks,3,Edward Lee Johnson,SG,6-2,180,1955-02-24,US,6,Auburn
1984,1,1692,ATL,Atlanta Hawks,54,Mark Landsberger,PF,6-8,215,1955-05-21,US,6,"Minnesota, Arizona State"
1984,1,1878,ATL,Atlanta Hawks,1,Wes Matthews,PG,6-1,170,1959-08-24,US,3,Wisconsin
1984,1,2268,ATL,Atlanta Hawks,5,Billy Paultz,C,6-11,235,1948-07-30,US,13,"Cameron University, St. John's"
1984,1,2316,ATL,Atlanta Hawks,33,John Pinone,SF,6-8,230,1961-02-19,US,R,Villanova
1984,1,2462,ATL,Atlanta Hawks,25,Doc Rivers,PG,6-4,185,1961-10-13,US,R,Marquette
1984,1,2508,ATL,Atlanta Hawks,30,Tree Rollins,C,7-1,235,1955-06-16,US,6,Clemson
1984,1,2520,ATL,Atlanta Hawks,32,Dan Roundfield,PF,6-8,205,1953-05-26,US,8,Central Michigan University
1984,1,3128,ATL,Atlanta Hawks,21,Dominique Wilkins,SF,6-8,215,1960-01-12,FR,1,Georgia
1984,1,3189,ATL,Atlanta Hawks,35,Sly Williams,SF,6-7,210,1958-01-26,US,4,Rhode Island
1984,1,3223,ATL,Atlanta Hawks,10,Randy Wittman,SG,6-6,210,1959-10-28,US,R,Indiana
