Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
1993,6,190,CLE,Cleveland Cavaliers,10,John Battle,SG,6-2,175,"November 9, 1962",US,7,Rutgers University
1993,6,334,CLE,Cleveland Cavaliers,11,Terrell Brandon,PG,5-11,180,"May 20, 1970",US,1,Oregon
1993,6,672,CLE,Cleveland Cavaliers,43,Brad Daugherty,C,7-0,245,"October 19, 1965",US,6,UNC
1993,6,838,CLE,Cleveland Cavaliers,3,Craig Ehlo,SG,6-6,180,"August 11, 1961",US,9,Washington State
1993,6,912,CLE,Cleveland Cavaliers,35,Danny Ferry,PF,6-10,230,"October 17, 1966",US,2,Duke
1993,6,1138,CLE,Cleveland Cavaliers,54,Jay Guidinger,C,6-10,255,"August 18, 1969",US,R,University of Minnesota Duluth
1993,6,1599,CLE,Cleveland Cavaliers,4,Steve Kerr,PG,6-3,175,"September 27, 1965",LB,4,Arizona
1993,6,1690,CLE,Cleveland Cavaliers,30,Jerome Lane,PF,6-6,230,"December 4, 1966",US,4,Pitt
1993,6,2111,CLE,Cleveland Cavaliers,22,Larry Nance,PF,6-10,205,"February 12, 1959",US,11,Clemson
1993,6,2305,CLE,Cleveland Cavaliers,14,Bobby Phills,SG,6-5,210,"December 20, 1969",US,1,Southern University and A&M College
1993,6,2363,CLE,Cleveland Cavaliers,25,Mark Price,PG,6-0,170,"February 15, 1964",US,6,Georgia Tech
1993,6,2559,CLE,Cleveland Cavaliers,33,Mike Sanders,SF,6-6,210,"May 7, 1960",US,10,UCLA
1993,6,3126,CLE,Cleveland Cavaliers,21,Gerald Wilkins,SF,6-6,185,"September 11, 1963",US,7,Chattanooga
1993,6,3148,CLE,Cleveland Cavaliers,18,Hot Rod Williams,C,6-11,215,"August 9, 1962",US,6,Tulane
