Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
1996,20,85,NYK,New York Knicks,40,Willie Anderson,SG,6-7,190,1967-01-08,US,7,Georgia
1996,20,533,NYK,New York Knicks,35,Doug Christie,SF,6-6,200,1970-05-09,US,3,Pepperdine
1996,20,690,NYK,New York Knicks,44,Hubert Davis,SG,6-5,183,1970-05-17,US,3,UNC
1996,20,885,NYK,New York Knicks,33,Patrick Ewing,C,7-0,240,1962-08-05,JM,10,Georgetown
1996,20,920,NYK,New York Knicks,6,Matt Fish,C,6-11,235,1969-11-18,US,1,UNC Wilmington
1996,20,1078,NYK,New York Knicks,20,Ron Grandison,PF,6-6,215,1964-07-09,US,3,"University of California, Irvine, New Orleans"
1996,20,1082,NYK,New York Knicks,23,Gary Grant,PG,6-3,185,1965-04-21,US,7,Michigan
1996,20,1190,NYK,New York Knicks,11,Derek Harper,PG,6-4,185,1961-10-13,US,12,Illinois
1996,20,1771,NYK,New York Knicks,54,Brad Lohaus,PF,6-11,230,1964-09-29,US,8,Iowa
1996,20,1869,NYK,New York Knicks,14,Anthony Mason,SF,6-7,250,1966-12-14,US,6,Tennessee State
1996,20,2186,NYK,New York Knicks,34,Charles Oakley,PF,6-8,225,1963-12-18,US,10,Virginia Union University
1996,20,2428,NYK,New York Knicks,7,J.R. Reid,PF,6-9,247,1968-03-31,US,6,UNC
1996,20,2673,NYK,New York Knicks,6,Charles Daniel Smith,PF,6-10,230,1965-07-16,US,7,Pitt
1996,20,2744,NYK,New York Knicks,3,John Starks,SG,6-3,180,1965-08-10,US,6,Oklahoma State
1996,20,3029,NYK,New York Knicks,21,Charlie Ward,PG,6-2,190,1970-10-12,US,1,Florida State
1996,20,3151,NYK,New York Knicks,32,Herb Williams,PF,6-10,242,1958-02-16,US,14,Ohio State
1996,20,3174,NYK,New York Knicks,41,Monty Williams,SF,6-8,225,1971-10-08,US,1,Notre Dame
