Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2004,16,52,MIA,Miami Heat,35,Malik Allen,PF,6-10,255,"June 27, 1978",US,2,Villanova
2004,16,60,MIA,Miami Heat,11,Rafer Alston,PG,6-2,171,"July 24, 1976",US,4,Fresno State
2004,16,201,MIA,Miami Heat,24,Jerome Beasley,PF,6-10,237,"May 17, 1980",US,R,"Midland College, University of North Dakota"
2004,16,436,MIA,Miami Heat,4,Caron Butler,SF,6-7,228,"March 13, 1980",US,1,UConn
2004,16,441,MIA,Miami Heat,45,Rasual Butler,SF,6-7,215,"May 23, 1979",US,1,La Salle
2004,16,565,MIA,Miami Heat,12,Bimbo Coles,PG,6-1,180,"April 22, 1968",US,13,Virginia Tech
2004,16,1079,MIA,Miami Heat,44,Brian Grant,C,6-9,254,"March 5, 1972",US,9,Xavier
2004,16,1222,MIA,Miami Heat,40,Udonis Haslem,PF,6-8,235,"June 9, 1980",US,R,Florida
2004,16,1294,MIA,Miami Heat,32,Tyrone Hill,PF,6-9,240,"March 19, 1968",US,13,Xavier
2004,16,1543,MIA,Miami Heat,6,Eddie Jones,SG,6-6,190,"October 20, 1971",US,9,Temple
2004,16,2187,MIA,Miami Heat,7,Lamar Odom,PF,6-10,220,"November 6, 1979",US,4,Rhode Island
2004,16,2283,MIA,Miami Heat,20,Kirk Penney,SG,6-5,220,"November 23, 1980",NZ,R,Wisconsin
2004,16,2992,MIA,Miami Heat,3,Dwyane Wade,PG,6-4,220,"January 17, 1982",US,R,Marquette
2004,16,3008,MIA,Miami Heat,52,Samaki Walker,PF,6-9,240,"February 25, 1976",US,7,Louisville
2004,16,3013,MIA,Miami Heat,22,John Wallace,SF,6-8,225,"February 9, 1974",US,6,Syracuse
2004,16,3228,MIA,Miami Heat,1,Loren Woods,C,7-1,245,"June 21, 1978",US,2,"Wake Forest, Arizona"
2004,16,3274,MIA,Miami Heat,15,Wang Zhizhi,C,7-0,255,"July 8, 1977",CN,3,
