Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2011,18,23,MIN,Minnesota Timberwolves,15,Maurice Ager,SG,6-5,202,"February 9, 1984",US,3,Michigan State
2011,18,203,MIN,Minnesota Timberwolves,8,Michael Beasley,SF,6-9,235,"January 9, 1989",US,2,Kansas State
2011,18,342,MIN,Minnesota Timberwolves,22,Corey Brewer,SF,6-9,186,"March 5, 1986",US,3,Florida
2011,18,845,MIN,Minnesota Timberwolves,19,Wayne Ellington,SG,6-4,207,"November 29, 1987",US,1,UNC
2011,18,926,MIN,Minnesota Timberwolves,10,Jonny Flynn,PG,6-0,185,"February 6, 1989",US,1,Syracuse
2011,18,980,MIN,Minnesota Timberwolves,1,Sundiata Gaines,PG,6-1,185,"April 18, 1986",US,1,Georgia
2011,18,1240,MIN,Minnesota Timberwolves,32,Lazar Hayward,SF,6-6,225,"November 26, 1986",US,R,Marquette
2011,18,1518,MIN,Minnesota Timberwolves,4,Wesley Johnson,SG,6-7,215,"July 11, 1987",US,R,"Iowa State, Syracuse"
2011,18,1653,MIN,Minnesota Timberwolves,41,Kosta Koufos,C,7-0,245,"February 24, 1989",US,2,Ohio State
2011,18,1780,MIN,Minnesota Timberwolves,42,Kevin Love,PF,6-8,251,"September 7, 1988",US,2,UCLA
2011,18,1988,MIN,Minnesota Timberwolves,31,Darko Milicic,C,7-0,250,"June 20, 1985",RS,7,
2011,18,2278,MIN,Minnesota Timberwolves,14,Nikola Pekovic,C,6-11,307,"January 3, 1986",ME,R,
2011,18,2396,MIN,Minnesota Timberwolves,15,Anthony Randolph,C,6-10,205,"July 15, 1989",DE,2,LSU
2011,18,2452,MIN,Minnesota Timberwolves,13,Luke Ridnour,PG,6-2,175,"February 13, 1981",US,7,Oregon
2011,18,2829,MIN,Minnesota Timberwolves,3,Sebastian Telfair,PG,6-0,165,"June 9, 1985",US,6,
2011,18,2894,MIN,Minnesota Timberwolves,44,Anthony Tolliver,SF,6-8,240,"June 1, 1985",US,2,Creighton
2011,18,3060,MIN,Minnesota Timberwolves,5,Martell Webster,SF,6-7,230,"December 4, 1986",US,5,
