Season,Team ID,Team ABV,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2017,29,UTA,Utah Jazz,82,240.9,36.3,82.0,0.44,8.2,22.9,0.36,28.1,59.1,0.48,16.0,20.7,0.77,9.0,31.1,40.2,17.8,7.3,3.8,12.1,20.2,96.8
2017,27,SAS,San Antonio Spurs,82,241.5,37.0,83.4,0.44,8.1,23.7,0.34,28.8,59.7,0.48,16.0,20.8,0.77,9.8,31.7,41.5,21.4,7.5,4.1,14.4,19.8,98.1
2017,15,MEM,Memphis Grizzlies,82,242.7,34.9,78.8,0.44,9.9,28.0,0.35,25.0,50.8,0.49,20.2,26.9,0.75,9.3,32.8,42.1,20.1,7.0,5.0,14.3,20.8,100.0
2017,7,DAL,Dallas Mavericks,82,241.2,37.0,79.0,0.47,9.6,25.3,0.38,27.4,53.7,0.51,17.2,22.3,0.77,8.9,35.6,44.5,21.3,6.5,3.4,14.9,19.4,100.8
2017,16,MIA,Miami Heat,82,241.2,37.9,84.2,0.45,7.8,22.7,0.34,30.1,61.5,0.49,18.5,23.7,0.78,10.2,33.4,43.6,19.6,6.8,4.9,13.7,18.7,102.1
2017,5,CHI,Chicago Bulls,82,241.2,39.5,86.6,0.46,8.9,25.9,0.34,30.5,60.7,0.5,14.6,19.0,0.77,10.3,32.9,43.2,23.6,7.3,4.6,13.4,18.8,102.4
2017,9,DET,Detroit Pistons,82,241.5,38.3,83.3,0.46,9.4,25.6,0.37,29.0,57.7,0.5,16.4,21.0,0.78,8.0,34.9,42.9,23.5,6.7,4.1,12.8,17.5,102.5
2017,28,TOR,Toronto Raptors,82,241.2,37.2,82.9,0.45,9.7,27.3,0.35,27.5,55.6,0.5,18.5,23.8,0.78,10.1,31.9,42.1,21.8,6.7,4.8,14.6,20.3,102.6
2017,17,MIL,Milwaukee Bucks,82,241.2,38.0,83.0,0.46,10.0,28.2,0.35,28.0,54.8,0.51,17.9,23.2,0.77,10.3,32.1,42.5,24.1,7.4,4.6,14.7,19.3,103.8
2017,1,ATL,Atlanta Hawks,82,242.4,38.8,87.3,0.44,10.9,30.5,0.36,27.9,56.7,0.49,15.6,20.2,0.77,10.7,33.2,43.9,23.4,9.0,5.2,15.4,21.6,104.0
2017,10,GSW,Golden State Warriors,82,241.2,38.8,89.2,0.44,9.0,27.8,0.32,29.8,61.4,0.48,17.7,23.2,0.76,11.7,31.8,43.5,22.7,8.6,3.8,15.5,19.4,104.3
2017,13,LAC,Los Angeles Clippers,82,240.9,38.6,85.4,0.45,9.2,26.3,0.35,29.4,59.1,0.5,18.0,23.4,0.77,10.2,32.9,43.1,23.1,7.0,3.1,13.2,22.4,104.4
2017,4,CHO,Charlotte Hornets,82,241.8,39.5,86.5,0.46,11.6,31.4,0.37,27.9,55.1,0.51,14.2,18.2,0.78,8.9,35.5,44.4,24.5,6.6,5.5,13.1,19.9,104.7
2017,12,IND,Indiana Pacers,82,242.1,38.0,84.3,0.45,10.4,29.1,0.36,27.6,55.1,0.5,19.0,24.1,0.79,10.7,33.5,44.3,22.3,8.1,5.0,14.9,19.5,105.3
2017,2,BOS,Boston Celtics,82,240.9,38.6,85.8,0.45,9.0,27.0,0.33,29.7,58.8,0.5,19.1,24.9,0.77,10.8,33.8,44.5,22.6,7.6,5.2,13.9,20.3,105.4
2017,21,OKC,Oklahoma City Thunder,82,241.5,39.2,85.3,0.46,8.8,24.8,0.36,30.4,60.5,0.5,18.6,24.3,0.76,9.1,31.5,40.6,21.4,8.5,5.5,13.8,20.7,105.8
2017,19,NOP,New Orleans Pelicans,82,242.7,40.1,89.0,0.45,10.5,29.8,0.35,29.5,59.2,0.5,15.8,20.7,0.76,10.6,37.7,48.3,23.4,7.4,4.2,14.0,19.3,106.4
2017,18,MIN,Minnesota Timberwolves,82,241.5,39.6,83.3,0.48,9.9,27.0,0.37,29.7,56.3,0.53,17.6,22.9,0.77,9.8,30.6,40.4,23.1,7.7,5.0,14.3,20.5,106.7
2017,26,SAC,Sacramento Kings,82,242.4,38.5,83.2,0.46,10.9,30.0,0.36,27.5,53.2,0.52,18.9,24.2,0.78,10.1,32.8,42.9,23.7,8.5,5.1,14.0,20.1,106.7
2017,6,CLE,Cleveland Cavaliers,82,242.4,40.6,88.8,0.46,10.4,28.7,0.36,30.3,60.1,0.5,15.5,20.0,0.77,11.0,33.2,44.2,24.7,7.3,4.3,12.6,20.6,107.2
2017,30,WAS,Washington Wizards,82,242.1,39.7,85.1,0.47,9.9,27.1,0.36,29.8,58.0,0.51,18.2,24.2,0.75,10.6,32.5,43.0,22.8,7.4,4.6,15.3,19.8,107.4
2017,22,ORL,Orlando Magic,82,241.5,40.3,86.4,0.47,9.7,26.4,0.37,30.6,60.0,0.51,17.4,22.7,0.77,9.7,35.8,45.5,23.6,7.6,5.1,13.0,18.7,107.6
2017,20,NYK,New York Knicks,82,242.1,39.7,87.4,0.46,9.8,28.2,0.35,29.9,59.1,0.51,18.7,24.2,0.77,11.6,33.1,44.7,21.8,7.5,4.6,12.9,18.5,108.0
2017,23,PHI,Philadelphia 76Ers,82,241.8,39.6,85.9,0.46,8.9,24.9,0.36,30.7,61.0,0.5,20.1,26.0,0.77,10.8,34.2,45.0,22.7,8.6,5.4,15.1,19.6,108.1
2017,25,POR,Portland Trail Blazers,82,243.0,39.2,86.2,0.46,9.3,25.1,0.37,29.9,61.1,0.49,20.8,26.5,0.78,10.1,33.9,44.0,20.6,7.7,5.3,12.8,19.8,108.5
2017,11,HOU,Houston Rockets,82,241.2,41.2,88.9,0.46,10.0,29.1,0.34,31.2,59.7,0.52,17.3,22.2,0.78,10.7,33.4,44.1,24.1,8.5,5.0,15.1,20.4,109.6
2017,8,DEN,Denver Nuggets,82,240.9,42.1,88.4,0.48,9.9,26.3,0.38,32.3,62.1,0.52,17.1,21.9,0.78,9.4,31.4,40.8,24.0,8.3,4.9,12.0,20.2,111.2
2017,14,LAL,Los Angeles Lakers,82,240.3,41.5,86.0,0.48,10.1,27.4,0.37,31.4,58.6,0.54,18.3,24.0,0.76,10.3,34.2,44.4,25.7,8.5,5.4,14.5,18.5,111.5
2017,3,BRK,Brooklyn Nets,82,240.9,41.6,90.8,0.46,10.0,27.2,0.37,31.7,63.6,0.5,19.3,25.0,0.77,11.0,36.2,47.2,23.0,9.5,5.6,13.3,20.4,112.5
2017,24,PHO,Phoenix Suns,82,241.8,40.2,86.2,0.47,10.1,26.3,0.38,30.2,59.9,0.5,22.8,29.1,0.78,10.2,33.8,44.0,22.2,8.1,5.3,14.9,22.2,113.3
