Season,Team ID,Team ABV,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1982,1,ATL,Atlanta Hawks,82,19880,3150,6709,0.47,46,186,0.25,3104,6523,0.48,1891,2482,0.76,1135,2388,3523,1871,578,434,1444,2179,8237
1982,30,WSB,Washington Bullets,82,19830,3362,7229,0.46,44,183,0.24,3318,7046,0.47,1645,2237,0.74,1110,2516,3626,1889,624,543,1325,1907,8413
1982,24,PHO,Phoenix Suns,82,19830,3350,7186,0.47,51,200,0.26,3299,6986,0.47,1671,2215,0.75,1158,2366,3524,1949,775,360,1391,2064,8422
1982,17,MIL,Milwaukee Bucks,82,19805,3297,7066,0.47,57,224,0.25,3240,6842,0.47,1790,2470,0.72,1172,2155,3327,2016,720,350,1538,2189,8441
1982,21,SEA,Seattle Supersonics,82,19830,3411,7407,0.46,48,201,0.24,3363,7206,0.47,1586,2183,0.73,1241,2420,3661,1994,660,311,1405,2150,8456
1982,12,IND,Indiana Pacers,82,19830,3470,7062,0.49,34,183,0.19,3436,6879,0.5,1558,2133,0.73,1204,2598,3802,2053,678,397,1517,2016,8532
1982,23,PHI,Philadelphia 76Ers,82,19855,3371,7083,0.48,55,212,0.26,3316,6871,0.48,1852,2496,0.74,1289,2344,3633,1965,702,470,1615,2216,8649
1982,2,BOS,Boston Celtics,82,19780,3490,7429,0.47,39,203,0.19,3451,7226,0.48,1638,2172,0.75,1193,2247,3440,1972,681,367,1432,2240,8657
1982,11,HOU,Houston Rockets,82,19780,3566,7180,0.5,48,202,0.24,3518,6978,0.5,1503,2011,0.75,1170,2304,3474,2128,678,353,1341,2047,8683
1982,3,NJN,New Jersey Nets,82,19780,3343,6934,0.48,58,187,0.31,3285,6747,0.49,1946,2597,0.75,1142,2346,3488,1931,832,539,1809,2164,8690
1982,5,CHI,Chicago Bulls,82,19880,3659,7388,0.5,58,194,0.3,3601,7194,0.5,1533,2053,0.75,1134,2225,3359,2043,807,469,1257,2220,8909
1982,20,NYK,New York Knicks,82,19830,3541,7018,0.5,51,168,0.3,3490,6850,0.51,1793,2369,0.76,1125,2366,3491,2089,703,358,1462,2017,8926
1982,7,DAL,Dallas Mavericks,82,19730,3530,6953,0.51,31,138,0.22,3499,6815,0.51,1847,2491,0.74,1108,2361,3469,1984,643,509,1370,2243,8938
1982,25,POR,Portland Trail Blazers,82,19780,3637,7293,0.5,54,206,0.26,3583,7087,0.51,1629,2149,0.76,1221,2367,3588,2114,708,427,1452,2142,8957
1982,14,LAL,Los Angeles Lakers,82,19855,3745,7679,0.49,78,213,0.37,3667,7466,0.49,1433,2008,0.71,1275,2255,3530,2319,718,435,1483,2004,9001
1982,10,GSW,Golden State Warriors,82,19780,3555,7250,0.49,40,172,0.23,3515,7078,0.5,1857,2466,0.75,1112,2407,3519,2079,661,393,1368,2156,9007
1982,26,KCK,Kansas City Kings,82,19880,3493,6984,0.5,48,158,0.3,3445,6826,0.5,2005,2653,0.76,1171,2552,3723,1853,707,450,1609,2136,9039
1982,27,SAS,San Antonio Spurs,82,19755,3566,7385,0.48,58,199,0.29,3508,7186,0.49,1893,2497,0.76,1151,2434,3585,2036,611,429,1352,2179,9083
1982,6,CLE,Cleveland Cavaliers,82,19805,3608,7044,0.51,39,131,0.3,3569,6913,0.52,1906,2529,0.75,1125,2529,3654,2169,655,480,1405,2071,9161
1982,9,DET,Detroit Pistons,82,19830,3749,7362,0.51,41,175,0.23,3708,7187,0.52,1648,2211,0.74,1159,2434,3593,2191,782,581,1637,2383,9187
1982,13,SDC,San Diego Clippers,82,19755,3739,7105,0.53,36,146,0.25,3703,6959,0.53,1988,2647,0.75,1033,2276,3309,2129,772,487,1334,2124,9502
1982,29,UTA,Utah Jazz,82,19780,3835,7530,0.51,51,200,0.26,3784,7330,0.52,1837,2466,0.74,1253,2599,3852,2148,663,420,1413,2052,9558
1982,8,DEN,Denver Nuggets,82,19830,4265,8142,0.52,64,227,0.28,4201,7915,0.53,1734,2354,0.74,1358,2459,3817,2516,749,569,1476,2453,10328
